prompt_id,source_prompt_id,family_id,source_cluster_id,mask_id,mask_bits,kl_clean_to_intervened,total_variation
qcontrol_c5d556b6682f2e9e,qseq_53402bb64e257a4c,length_32_gap_8,qcluster_locked_test_0000,qmask_2def687a70c0189d,11100100,0.01900848001241684,0.073837965726852417
qcontrol_3d6dbff59ab97005,qseq_063d071a40a8b975,length_32_gap_8,qcluster_locked_test_0001,qmask_2def687a70c0189d,11100100,0.036700770258903503,0.10273630917072296
qcontrol_8e25272f30b8e1de,qseq_2b370320aa590f4a,length_32_gap_8,qcluster_locked_test_0002,qmask_2def687a70c0189d,11100100,0.015289779752492905,0.06737537682056427
qcontrol_ed063b6dcfd273db,qseq_62b2d7ba14f996e1,length_32_gap_8,qcluster_locked_test_0003,qmask_2def687a70c0189d,11100100,0.019737137481570244,0.076721251010894775
qcontrol_87bb7269d412a6c7,qseq_fc7b565459a3a9ce,length_32_gap_8,qcluster_locked_test_0004,qmask_2def687a70c0189d,11100100,0.021447079256176949,0.078541822731494904
qcontrol_d2eaa38d58430d7b,qseq_855a3f3d1d296cbe,length_32_gap_8,qcluster_locked_test_0005,qmask_2def687a70c0189d,11100100,0.021326655521988869,0.081547386944293976
qcontrol_24a73d4e4e356b54,qseq_bc6acb92c469fef7,length_32_gap_8,qcluster_locked_test_0006,qmask_2def687a70c0189d,11100100,0.1162119135260582,0.19543561339378357
qcontrol_ab5c86c16f90de00,qseq_8ca468b64440782b,length_32_gap_8,qcluster_locked_test_0007,qmask_2def687a70c0189d,11100100,0.13914221525192261,0.20618875324726105
qcontrol_0467ed43d31cbc26,qseq_3f0bb4eae1f06111,length_32_gap_8,qcluster_locked_test_0008,qmask_2def687a70c0189d,11100100,0.026901546865701675,0.089582681655883789
qcontrol_5c4599f1f5150e80,qseq_545d27c10930d8dd,length_32_gap_8,qcluster_locked_test_0009,qmask_2def687a70c0189d,11100100,0.036885097622871399,0.10617329925298691
qcontrol_fdba721e76249374,qseq_c3a8805eafca385c,length_32_gap_8,qcluster_locked_test_0010,qmask_2def687a70c0189d,11100100,0.012131246738135815,0.06132064014673233
qcontrol_cd16adfe498ec968,qseq_1428b8e6a33bc034,length_32_gap_8,qcluster_locked_test_0011,qmask_2def687a70c0189d,11100100,0.021204644814133644,0.07776603102684021
qcontrol_e729907ce7696489,qseq_dc48f394593bb573,length_32_gap_8,qcluster_locked_test_0012,qmask_2def687a70c0189d,11100100,0.33737930655479431,0.30597385764122009
qcontrol_668baf9e860bb680,qseq_84d55da9d8a1c3ec,length_32_gap_8,qcluster_locked_test_0013,qmask_2def687a70c0189d,11100100,0.0088216625154018402,0.051279462873935699
qcontrol_c97b66b834c31d9f,qseq_ad68734add0ca673,length_32_gap_8,qcluster_locked_test_0014,qmask_2def687a70c0189d,11100100,0.016995154321193695,0.071706444025039673
qcontrol_ebc54483bd759f2a,qseq_5d11ec40ee5e399c,length_32_gap_8,qcluster_locked_test_0015,qmask_2def687a70c0189d,11100100,0.007014234084635973,0.046041823923587799
qcontrol_2098c49dc5af26a7,qseq_933613b63b18ef39,length_32_gap_8,qcluster_locked_test_0016,qmask_2def687a70c0189d,11100100,0.015584208071231842,0.066626936197280884
qcontrol_cec492db00e0f846,qseq_7982e3353af95b5a,length_32_gap_8,qcluster_locked_test_0017,qmask_2def687a70c0189d,11100100,0.037877891212701797,0.11381644755601883
qcontrol_92c8ca14ea81d17a,qseq_957f2217c38cbb43,length_32_gap_8,qcluster_locked_test_0018,qmask_2def687a70c0189d,11100100,0.034989148378372192,0.098393484950065613
qcontrol_9ef38e7933073940,qseq_1ca6609274aa0efd,length_32_gap_8,qcluster_locked_test_0019,qmask_2def687a70c0189d,11100100,0.055378876626491547,0.11274570971727371
qcontrol_7bfadcf22fb593a6,qseq_636926d60e9fc6a4,length_32_gap_8,qcluster_locked_test_0020,qmask_2def687a70c0189d,11100100,0.031389296054840088,0.097683563828468323
qcontrol_4adc18eeedd3ef7a,qseq_2b0e460c32b3f17b,length_32_gap_8,qcluster_locked_test_0021,qmask_2def687a70c0189d,11100100,0.073614835739135742,0.14918681979179382
qcontrol_93715968b217048a,qseq_597ab7a897f078ee,length_32_gap_8,qcluster_locked_test_0022,qmask_2def687a70c0189d,11100100,0.013235927559435368,0.062219791114330292
qcontrol_dda2501e624acf62,qseq_ab085848a2ffe2d7,length_32_gap_8,qcluster_locked_test_0023,qmask_2def687a70c0189d,11100100,0.011066890321671963,0.05774032324552536
qcontrol_0f0dccc5c19f1f5d,qseq_743feac99f8e9594,length_32_gap_8,qcluster_locked_test_0024,qmask_2def687a70c0189d,11100100,0.050815992057323456,0.12356454133987427
qcontrol_78ded0b40eb2b27c,qseq_82634b9ef4f722e5,length_32_gap_8,qcluster_locked_test_0025,qmask_2def687a70c0189d,11100100,0.017979761585593224,0.070953011512756348
qcontrol_71ea360fb8af9930,qseq_6ef95ecc92d78a0d,length_32_gap_8,qcluster_locked_test_0026,qmask_2def687a70c0189d,11100100,0.036523155868053436,0.10477950423955917
qcontrol_72a8669bdefe41bb,qseq_f0c0d20f4295b441,length_32_gap_8,qcluster_locked_test_0027,qmask_2def687a70c0189d,11100100,0.012739107944071293,0.061164744198322296
qcontrol_f5c79c084a82ed83,qseq_51ad2d071f274bd7,length_32_gap_8,qcluster_locked_test_0028,qmask_2def687a70c0189d,11100100,0.016791142523288727,0.067925252020359039
qcontrol_f098e7503bd78cfe,qseq_7678c941fe0cdde4,length_32_gap_8,qcluster_locked_test_0029,qmask_2def687a70c0189d,11100100,0.0099402992054820061,0.053483583033084869
qcontrol_cb985f45087fdfca,qseq_abd4c2b648d044b2,length_32_gap_8,qcluster_locked_test_0030,qmask_2def687a70c0189d,11100100,0.02202233113348484,0.082753345370292664
qcontrol_4eedb1edc907cb3f,qseq_376748c012341f39,length_32_gap_8,qcluster_locked_test_0031,qmask_2def687a70c0189d,11100100,0.033818364143371582,0.10969675332307816
qcontrol_ce7e3d2743f6522c,qseq_19d86bb0059dd869,length_32_gap_8,qcluster_locked_test_0032,qmask_2def687a70c0189d,11100100,0.016744300723075867,0.070241168141365051
qcontrol_cd891116254bb5de,qseq_c3631e47ce7a3151,length_32_gap_8,qcluster_locked_test_0033,qmask_2def687a70c0189d,11100100,0.01337122730910778,0.062915951013565063
qcontrol_b78a15eac9e1d73b,qseq_d7c516de3d15276d,length_32_gap_8,qcluster_locked_test_0034,qmask_2def687a70c0189d,11100100,0.019735865294933319,0.078757978975772858
qcontrol_47a96e6006fe81d4,qseq_a0ace0ffe2091903,length_32_gap_8,qcluster_locked_test_0035,qmask_2def687a70c0189d,11100100,0.012366135604679585,0.062445707619190216
qcontrol_4b25178f8bfcd58f,qseq_ba465edb70f8e1ca,length_32_gap_8,qcluster_locked_test_0036,qmask_2def687a70c0189d,11100100,0.016841258853673935,0.070228651165962219
qcontrol_d15821c919988bba,qseq_76850ece32132587,length_32_gap_8,qcluster_locked_test_0037,qmask_2def687a70c0189d,11100100,0.0074913734570145607,0.038424871861934662
qcontrol_1ed152e282946d26,qseq_f7a4abff778dac0d,length_32_gap_8,qcluster_locked_test_0038,qmask_2def687a70c0189d,11100100,0.014906704425811768,0.067238092422485352
qcontrol_639187d5eabfec69,qseq_e853f0c08b8332c6,length_32_gap_8,qcluster_locked_test_0039,qmask_2def687a70c0189d,11100100,0.021987427026033401,0.0835428386926651
qcontrol_645b510cfbaa4148,qseq_076c730602874c8e,length_32_gap_8,qcluster_locked_test_0040,qmask_2def687a70c0189d,11100100,0.017731683328747749,0.07267414778470993
qcontrol_0610fb9acf8072f8,qseq_419e4d2a6546e726,length_32_gap_8,qcluster_locked_test_0041,qmask_2def687a70c0189d,11100100,0.014529020525515079,0.066925331950187683
qcontrol_3e1b775d651cbe18,qseq_0dee966050bfd253,length_32_gap_8,qcluster_locked_test_0042,qmask_2def687a70c0189d,11100100,0.021807221695780754,0.08131803572177887
