prompt_id,source_prompt_id,family_id,source_cluster_id,mask_id,mask_bits,kl_clean_to_intervened,total_variation
qcontrol_c5d556b6682f2e9e,qseq_53402bb64e257a4c,length_32_gap_8,qcluster_locked_test_0000,qmask_3745eec79815ddf1,10011011,0.017950031906366348,0.077155202627182007
qcontrol_3d6dbff59ab97005,qseq_063d071a40a8b975,length_32_gap_8,qcluster_locked_test_0001,qmask_3745eec79815ddf1,10011011,0.0059952205047011375,0.043882168829441071
qcontrol_8e25272f30b8e1de,qseq_2b370320aa590f4a,length_32_gap_8,qcluster_locked_test_0002,qmask_3745eec79815ddf1,10011011,0.010154729709029198,0.055995777249336243
qcontrol_ed063b6dcfd273db,qseq_62b2d7ba14f996e1,length_32_gap_8,qcluster_locked_test_0003,qmask_3745eec79815ddf1,10011011,0.010398134589195251,0.056608818471431732
qcontrol_87bb7269d412a6c7,qseq_fc7b565459a3a9ce,length_32_gap_8,qcluster_locked_test_0004,qmask_3745eec79815ddf1,10011011,0.013277599588036537,0.062246166169643402
qcontrol_d2eaa38d58430d7b,qseq_855a3f3d1d296cbe,length_32_gap_8,qcluster_locked_test_0005,qmask_3745eec79815ddf1,10011011,0.0033509191125631332,0.031890828162431717
qcontrol_24a73d4e4e356b54,qseq_bc6acb92c469fef7,length_32_gap_8,qcluster_locked_test_0006,qmask_3745eec79815ddf1,10011011,0.067183032631874084,0.14836463332176208
qcontrol_ab5c86c16f90de00,qseq_8ca468b64440782b,length_32_gap_8,qcluster_locked_test_0007,qmask_3745eec79815ddf1,10011011,0.025735983625054359,0.08927290141582489
qcontrol_0467ed43d31cbc26,qseq_3f0bb4eae1f06111,length_32_gap_8,qcluster_locked_test_0008,qmask_3745eec79815ddf1,10011011,0.015475740656256676,0.07133958488702774
qcontrol_5c4599f1f5150e80,qseq_545d27c10930d8dd,length_32_gap_8,qcluster_locked_test_0009,qmask_3745eec79815ddf1,10011011,0.011515668593347073,0.059956423938274384
qcontrol_fdba721e76249374,qseq_c3a8805eafca385c,length_32_gap_8,qcluster_locked_test_0010,qmask_3745eec79815ddf1,10011011,0.0078179715201258659,0.049646295607089996
qcontrol_cd16adfe498ec968,qseq_1428b8e6a33bc034,length_32_gap_8,qcluster_locked_test_0011,qmask_3745eec79815ddf1,10011011,0.010402056388556957,0.058049745857715607
qcontrol_e729907ce7696489,qseq_dc48f394593bb573,length_32_gap_8,qcluster_locked_test_0012,qmask_3745eec79815ddf1,10011011,0.077209778130054474,0.15627339482307434
qcontrol_668baf9e860bb680,qseq_84d55da9d8a1c3ec,length_32_gap_8,qcluster_locked_test_0013,qmask_3745eec79815ddf1,10011011,0.010211870074272156,0.05420946329832077
qcontrol_c97b66b834c31d9f,qseq_ad68734add0ca673,length_32_gap_8,qcluster_locked_test_0014,qmask_3745eec79815ddf1,10011011,0.0092930812388658524,0.053602267056703568
qcontrol_ebc54483bd759f2a,qseq_5d11ec40ee5e399c,length_32_gap_8,qcluster_locked_test_0015,qmask_3745eec79815ddf1,10011011,0.0037138939369469881,0.033899292349815369
qcontrol_2098c49dc5af26a7,qseq_933613b63b18ef39,length_32_gap_8,qcluster_locked_test_0016,qmask_3745eec79815ddf1,10011011,0.0069672754034399986,0.045068833976984024
qcontrol_cec492db00e0f846,qseq_7982e3353af95b5a,length_32_gap_8,qcluster_locked_test_0017,qmask_3745eec79815ddf1,10011011,0.20741917192935944,0.23489049077033997
qcontrol_92c8ca14ea81d17a,qseq_957f2217c38cbb43,length_32_gap_8,qcluster_locked_test_0018,qmask_3745eec79815ddf1,10011011,0.011647404171526432,0.057512443512678146
qcontrol_9ef38e7933073940,qseq_1ca6609274aa0efd,length_32_gap_8,qcluster_locked_test_0019,qmask_3745eec79815ddf1,10011011,0.0073192901909351349,0.044784057885408401
qcontrol_7bfadcf22fb593a6,qseq_636926d60e9fc6a4,length_32_gap_8,qcluster_locked_test_0020,qmask_3745eec79815ddf1,10011011,0.0077050165273249149,0.047240171581506729
qcontrol_4adc18eeedd3ef7a,qseq_2b0e460c32b3f17b,length_32_gap_8,qcluster_locked_test_0021,qmask_3745eec79815ddf1,10011011,0.005676555447280407,0.03983316570520401
qcontrol_93715968b217048a,qseq_597ab7a897f078ee,length_32_gap_8,qcluster_locked_test_0022,qmask_3745eec79815ddf1,10011011,0.010014399886131287,0.055213388055562973
qcontrol_dda2501e624acf62,qseq_ab085848a2ffe2d7,length_32_gap_8,qcluster_locked_test_0023,qmask_3745eec79815ddf1,10011011,0.017841927707195282,0.077780745923519135
qcontrol_0f0dccc5c19f1f5d,qseq_743feac99f8e9594,length_32_gap_8,qcluster_locked_test_0024,qmask_3745eec79815ddf1,10011011,0.0056612873449921608,0.041813932359218597
qcontrol_78ded0b40eb2b27c,qseq_82634b9ef4f722e5,length_32_gap_8,qcluster_locked_test_0025,qmask_3745eec79815ddf1,10011011,0.004641631618142128,0.037724569439888
qcontrol_71ea360fb8af9930,qseq_6ef95ecc92d78a0d,length_32_gap_8,qcluster_locked_test_0026,qmask_3745eec79815ddf1,10011011,0.0086278561502695084,0.052518066018819809
qcontrol_72a8669bdefe41bb,qseq_f0c0d20f4295b441,length_32_gap_8,qcluster_locked_test_0027,qmask_3745eec79815ddf1,10011011,0.0040570860728621483,0.035685237497091293
qcontrol_f5c79c084a82ed83,qseq_51ad2d071f274bd7,length_32_gap_8,qcluster_locked_test_0028,qmask_3745eec79815ddf1,10011011,0.008074536919593811,0.050022650510072708
