prompt_id,source_prompt_id,family_id,source_cluster_id,mask_id,mask_bits,kl_clean_to_intervened,total_variation
qcontrol_c5d556b6682f2e9e,qseq_53402bb64e257a4c,length_32_gap_8,qcluster_locked_test_0000,qmask_3b86e07f9bac3525,10001010,0.010985106229782104,0.06040288507938385
qcontrol_3d6dbff59ab97005,qseq_063d071a40a8b975,length_32_gap_8,qcluster_locked_test_0001,qmask_3b86e07f9bac3525,10001010,0.0039928341284394264,0.035815738141536713
qcontrol_8e25272f30b8e1de,qseq_2b370320aa590f4a,length_32_gap_8,qcluster_locked_test_0002,qmask_3b86e07f9bac3525,10001010,0.0062800776213407516,0.044304810464382172
qcontrol_ed063b6dcfd273db,qseq_62b2d7ba14f996e1,length_32_gap_8,qcluster_locked_test_0003,qmask_3b86e07f9bac3525,10001010,0.005395012442022562,0.040194977074861526
qcontrol_87bb7269d412a6c7,qseq_fc7b565459a3a9ce,length_32_gap_8,qcluster_locked_test_0004,qmask_3b86e07f9bac3525,10001010,0.0079292086884379387,0.047683101147413254
qcontrol_d2eaa38d58430d7b,qseq_855a3f3d1d296cbe,length_32_gap_8,qcluster_locked_test_0005,qmask_3b86e07f9bac3525,10001010,0.0025905643124133348,0.028691478073596954
qcontrol_24a73d4e4e356b54,qseq_bc6acb92c469fef7,length_32_gap_8,qcluster_locked_test_0006,qmask_3b86e07f9bac3525,10001010,0.043853431940078735,0.12146756052970886
qcontrol_ab5c86c16f90de00,qseq_8ca468b64440782b,length_32_gap_8,qcluster_locked_test_0007,qmask_3b86e07f9bac3525,10001010,0.01947268471121788,0.077884882688522339
qcontrol_0467ed43d31cbc26,qseq_3f0bb4eae1f06111,length_32_gap_8,qcluster_locked_test_0008,qmask_3b86e07f9bac3525,10001010,0.010632453486323357,0.059480868279933929
qcontrol_5c4599f1f5150e80,qseq_545d27c10930d8dd,length_32_gap_8,qcluster_locked_test_0009,qmask_3b86e07f9bac3525,10001010,0.0060869781300425529,0.043814264237880707
qcontrol_fdba721e76249374,qseq_c3a8805eafca385c,length_32_gap_8,qcluster_locked_test_0010,qmask_3b86e07f9bac3525,10001010,0.0051489300094544888,0.040281660854816437
qcontrol_cd16adfe498ec968,qseq_1428b8e6a33bc034,length_32_gap_8,qcluster_locked_test_0011,qmask_3b86e07f9bac3525,10001010,0.006271064281463623,0.045066926628351212
qcontrol_e729907ce7696489,qseq_dc48f394593bb573,length_32_gap_8,qcluster_locked_test_0012,qmask_3b86e07f9bac3525,10001010,0.056507881730794907,0.133723184466362
qcontrol_668baf9e860bb680,qseq_84d55da9d8a1c3ec,length_32_gap_8,qcluster_locked_test_0013,qmask_3b86e07f9bac3525,10001010,0.0066927094012498856,0.043853074312210083
qcontrol_c97b66b834c31d9f,qseq_ad68734add0ca673,length_32_gap_8,qcluster_locked_test_0014,qmask_3b86e07f9bac3525,10001010,0.0063807740807533264,0.044570162892341614
qcontrol_ebc54483bd759f2a,qseq_5d11ec40ee5e399c,length_32_gap_8,qcluster_locked_test_0015,qmask_3b86e07f9bac3525,10001010,0.0031414881814271212,0.031390711665153503
qcontrol_2098c49dc5af26a7,qseq_933613b63b18ef39,length_32_gap_8,qcluster_locked_test_0016,qmask_3b86e07f9bac3525,10001010,0.0038294242694973946,0.034004352986812592
qcontrol_cec492db00e0f846,qseq_7982e3353af95b5a,length_32_gap_8,qcluster_locked_test_0017,qmask_3b86e07f9bac3525,10001010,0.16115252673625946,0.2070469856262207
qcontrol_92c8ca14ea81d17a,qseq_957f2217c38cbb43,length_32_gap_8,qcluster_locked_test_0018,qmask_3b86e07f9bac3525,10001010,0.005933971144258976,0.041816916316747665
qcontrol_9ef38e7933073940,qseq_1ca6609274aa0efd,length_32_gap_8,qcluster_locked_test_0019,qmask_3b86e07f9bac3525,10001010,0.0066017755307257175,0.041835308074951172
qcontrol_7bfadcf22fb593a6,qseq_636926d60e9fc6a4,length_32_gap_8,qcluster_locked_test_0020,qmask_3b86e07f9bac3525,10001010,0.006552716251462698,0.045056380331516266
qcontrol_4adc18eeedd3ef7a,qseq_2b0e460c32b3f17b,length_32_gap_8,qcluster_locked_test_0021,qmask_3b86e07f9bac3525,10001010,0.0041473261080682278,0.035444781184196472
qcontrol_93715968b217048a,qseq_597ab7a897f078ee,length_32_gap_8,qcluster_locked_test_0022,qmask_3b86e07f9bac3525,10001010,0.0063204029574990273,0.044905349612236023
qcontrol_dda2501e624acf62,qseq_ab085848a2ffe2d7,length_32_gap_8,qcluster_locked_test_0023,qmask_3b86e07f9bac3525,10001010,0.0088188964873552322,0.054569724947214127
qcontrol_0f0dccc5c19f1f5d,qseq_743feac99f8e9594,length_32_gap_8,qcluster_locked_test_0024,qmask_3b86e07f9bac3525,10001010,0.0029476198833435774,0.030508935451507568
qcontrol_78ded0b40eb2b27c,qseq_82634b9ef4f722e5,length_32_gap_8,qcluster_locked_test_0025,qmask_3b86e07f9bac3525,10001010,0.0028851809911429882,0.029645439237356186
qcontrol_71ea360fb8af9930,qseq_6ef95ecc92d78a0d,length_32_gap_8,qcluster_locked_test_0026,qmask_3b86e07f9bac3525,10001010,0.0040092295967042446,0.035587769001722336
qcontrol_72a8669bdefe41bb,qseq_f0c0d20f4295b441,length_32_gap_8,qcluster_locked_test_0027,qmask_3b86e07f9bac3525,10001010,0.0017921950202435255,0.023572053760290146
qcontrol_f5c79c084a82ed83,qseq_51ad2d071f274bd7,length_32_gap_8,qcluster_locked_test_0028,qmask_3b86e07f9bac3525,10001010,0.0062201274558901787,0.044540144503116608
qcontrol_f098e7503bd78cfe,qseq_7678c941fe0cdde4,length_32_gap_8,qcluster_locked_test_0029,qmask_3b86e07f9bac3525,10001010,0.0027853371575474739,0.027909848839044571
qcontrol_cb985f45087fdfca,qseq_abd4c2b648d044b2,length_32_gap_8,qcluster_locked_test_0030,qmask_3b86e07f9bac3525,10001010,0.0042180712334811687,0.036302991211414337
qcontrol_4eedb1edc907cb3f,qseq_376748c012341f39,length_32_gap_8,qcluster_locked_test_0031,qmask_3b86e07f9bac3525,10001010,0.032693345099687576,0.10608483850955963
qcontrol_ce7e3d2743f6522c,qseq_19d86bb0059dd869,length_32_gap_8,qcluster_locked_test_0032,qmask_3b86e07f9bac3525,10001010,0.0032320357859134674,0.031850226223468781
qcontrol_cd891116254bb5de,qseq_c3631e47ce7a3151,length_32_gap_8,qcluster_locked_test_0033,qmask_3b86e07f9bac3525,10001010,0.0033554320689290762,0.030600383877754211
qcontrol_b78a15eac9e1d73b,qseq_d7c516de3d15276d,length_32_gap_8,qcluster_locked_test_0034,qmask_3b86e07f9bac3525,10001010,0.0088281305506825447,0.053210075944662094
qcontrol_47a96e6006fe81d4,qseq_a0ace0ffe2091903,length_32_gap_8,qcluster_locked_test_0035,qmask_3b86e07f9bac3525,10001010,0.010875738225877285,0.05654018372297287
qcontrol_4b25178f8bfcd58f,qseq_ba465edb70f8e1ca,length_32_gap_8,qcluster_locked_test_0036,qmask_3b86e07f9bac3525,10001010,0.010120035149157047,0.055674545466899872
qcontrol_d15821c919988bba,qseq_76850ece32132587,length_32_gap_8,qcluster_locked_test_0037,qmask_3b86e07f9bac3525,10001010,0.001942535862326622,0.02436564676463604
qcontrol_1ed152e282946d26,qseq_f7a4abff778dac0d,length_32_gap_8,qcluster_locked_test_0038,qmask_3b86e07f9bac3525,10001010,0.014273045584559441,0.066284805536270142
qcontrol_639187d5eabfec69,qseq_e853f0c08b8332c6,length_32_gap_8,qcluster_locked_test_0039,qmask_3b86e07f9bac3525,10001010,0.024814920499920845,0.090575098991394043
qcontrol_645b510cfbaa4148,qseq_076c730602874c8e,length_32_gap_8,qcluster_locked_test_0040,qmask_3b86e07f9bac3525,10001010,0.0056313849054276943,0.040954776108264923
qcontrol_0610fb9acf8072f8,qseq_419e4d2a6546e726,length_32_gap_8,qcluster_locked_test_0041,qmask_3b86e07f9bac3525,10001010,0.014950123615562916,0.068906284868717194
qcontrol_3e1b775d651cbe18,qseq_0dee966050bfd253,length_32_gap_8,qcluster_locked_test_0042,qmask_3b86e07f9bac3525,10001010,0.011681511998176575,0.060076609253883362
qcontrol_6640639f17c20a2b,qseq_33d6299f018a63df,length_32_gap_8,qcluster_locked_test_0043,qmask_3b86e07f9bac3525,10001010,0.0037193582393229008,0.033887270838022232
qcontrol_92ea2bf42a9ea623,qseq_1d6ac5c0e2ef6aec,length_32_gap_8,qcluster_locked_test_0044,qmask_3b86e07f9bac3525,10001010,0.025120973587036133,0.093453839421272278
qcontrol_a82ad6489f53d75c,qseq_1a159a1dae28da54,length_32_gap_8,qcluster_locked_test_0045,qmask_3b86e07f9bac3525,10001010,0.0088294893503189087,0.052729178220033646
qcontrol_c35a305ca8c70ee5,qseq_d93f64d04e6cfa98,length_32_gap_8,qcluster_locked_test_0046,qmask_3b86e07f9bac3525,10001010,0.008776247501373291,0.052569560706615448
qcontrol_ea32ec7a986b12ef,qseq_dc46b739b3b479f2,length_32_gap_8,qcluster_locked_test_0047,qmask_3b86e07f9bac3525,10001010,0.014806480146944523,0.064396791160106659
qcontrol_d7c2e41273b93372,qseq_53c883855c13ae86,length_32_gap_8,qcluster_locked_test_0048,qmask_3b86e07f9bac3525,10001010,0.0068964343518018723,0.046500857919454575
qcontrol_90b2d8a79b134e9b,qseq_e298a08ae621717b,length_32_gap_8,qcluster_locked_test_0049,qmask_3b86e07f9bac3525,10001010,0.0024947691708803177,0.027429763227701187
qcontrol_d3a40d21f04937c0,qseq_ea09c5e6da440673,length_32_gap_8,qcluster_locked_test_0050,qmask_3b86e07f9bac3525,10001010,0.0058891517110168934,0.042661886662244797
qcontrol_326b6598268f9751,qseq_a2aac0b7a5eb8c02,length_32_gap_8,qcluster_locked_test_0051,qmask_3b86e07f9bac3525,10001010,0.0031496463343501091,0.02770698070526123
qcontrol_81760386fa700394,qseq_53d58b039bf71abb,length_32_gap_8,qcluster_locked_test_0052,qmask_3b86e07f9bac3525,10001010,0.0091785751283168793,0.055108606815338135
