prompt_id,source_prompt_id,family_id,source_cluster_id,mask_id,mask_bits,kl_clean_to_intervened,total_variation
qcontrol_c5d556b6682f2e9e,qseq_53402bb64e257a4c,length_32_gap_8,qcluster_locked_test_0000,qmask_427363983d4a675f,11011110,0.028987735509872437,0.099058538675308228
qcontrol_3d6dbff59ab97005,qseq_063d071a40a8b975,length_32_gap_8,qcluster_locked_test_0001,qmask_427363983d4a675f,11011110,0.016804862767457962,0.073634088039398193
qcontrol_8e25272f30b8e1de,qseq_2b370320aa590f4a,length_32_gap_8,qcluster_locked_test_0002,qmask_427363983d4a675f,11011110,0.016684100031852722,0.071663200855255127
qcontrol_ed063b6dcfd273db,qseq_62b2d7ba14f996e1,length_32_gap_8,qcluster_locked_test_0003,qmask_427363983d4a675f,11011110,0.025730147957801819,0.088655367493629456
qcontrol_87bb7269d412a6c7,qseq_fc7b565459a3a9ce,length_32_gap_8,qcluster_locked_test_0004,qmask_427363983d4a675f,11011110,0.02548639103770256,0.085498541593551636
qcontrol_d2eaa38d58430d7b,qseq_855a3f3d1d296cbe,length_32_gap_8,qcluster_locked_test_0005,qmask_427363983d4a675f,11011110,0.0064941844902932644,0.043970033526420593
qcontrol_24a73d4e4e356b54,qseq_bc6acb92c469fef7,length_32_gap_8,qcluster_locked_test_0006,qmask_427363983d4a675f,11011110,0.11544835567474365,0.19652214646339417
qcontrol_ab5c86c16f90de00,qseq_8ca468b64440782b,length_32_gap_8,qcluster_locked_test_0007,qmask_427363983d4a675f,11011110,0.031224494799971581,0.098937228322029114
qcontrol_0467ed43d31cbc26,qseq_3f0bb4eae1f06111,length_32_gap_8,qcluster_locked_test_0008,qmask_427363983d4a675f,11011110,0.034150462597608566,0.10594941675662994
qcontrol_5c4599f1f5150e80,qseq_545d27c10930d8dd,length_32_gap_8,qcluster_locked_test_0009,qmask_427363983d4a675f,11011110,0.014947828836739063,0.069482028484344482
qcontrol_fdba721e76249374,qseq_c3a8805eafca385c,length_32_gap_8,qcluster_locked_test_0010,qmask_427363983d4a675f,11011110,0.014583762735128403,0.069614380598068237
qcontrol_cd16adfe498ec968,qseq_1428b8e6a33bc034,length_32_gap_8,qcluster_locked_test_0011,qmask_427363983d4a675f,11011110,0.018167475238442421,0.076475828886032104
qcontrol_e729907ce7696489,qseq_dc48f394593bb573,length_32_gap_8,qcluster_locked_test_0012,qmask_427363983d4a675f,11011110,0.12240879982709885,0.19411954283714294
qcontrol_668baf9e860bb680,qseq_84d55da9d8a1c3ec,length_32_gap_8,qcluster_locked_test_0013,qmask_427363983d4a675f,11011110,0.024400375783443451,0.082934685051441193
qcontrol_c97b66b834c31d9f,qseq_ad68734add0ca673,length_32_gap_8,qcluster_locked_test_0014,qmask_427363983d4a675f,11011110,0.018843421712517738,0.075644709169864655
qcontrol_ebc54483bd759f2a,qseq_5d11ec40ee5e399c,length_32_gap_8,qcluster_locked_test_0015,qmask_427363983d4a675f,11011110,0.010183820500969887,0.056352265179157257
qcontrol_2098c49dc5af26a7,qseq_933613b63b18ef39,length_32_gap_8,qcluster_locked_test_0016,qmask_427363983d4a675f,11011110,0.011726303957402706,0.058733794838190079
qcontrol_cec492db00e0f846,qseq_7982e3353af95b5a,length_32_gap_8,qcluster_locked_test_0017,qmask_427363983d4a675f,11011110,0.2166823148727417,0.24608176946640015
qcontrol_92c8ca14ea81d17a,qseq_957f2217c38cbb43,length_32_gap_8,qcluster_locked_test_0018,qmask_427363983d4a675f,11011110,0.018744617700576782,0.073163285851478577
qcontrol_9ef38e7933073940,qseq_1ca6609274aa0efd,length_32_gap_8,qcluster_locked_test_0019,qmask_427363983d4a675f,11011110,0.019042059779167175,0.073405936360359192
qcontrol_7bfadcf22fb593a6,qseq_636926d60e9fc6a4,length_32_gap_8,qcluster_locked_test_0020,qmask_427363983d4a675f,11011110,0.017628295347094536,0.07418765127658844
qcontrol_4adc18eeedd3ef7a,qseq_2b0e460c32b3f17b,length_32_gap_8,qcluster_locked_test_0021,qmask_427363983d4a675f,11011110,0.019332639873027802,0.076415613293647766
qcontrol_93715968b217048a,qseq_597ab7a897f078ee,length_32_gap_8,qcluster_locked_test_0022,qmask_427363983d4a675f,11011110,0.021878927946090698,0.0813489630818367
qcontrol_dda2501e624acf62,qseq_ab085848a2ffe2d7,length_32_gap_8,qcluster_locked_test_0023,qmask_427363983d4a675f,11011110,0.034198954701423645,0.10716550052165985
qcontrol_0f0dccc5c19f1f5d,qseq_743feac99f8e9594,length_32_gap_8,qcluster_locked_test_0024,qmask_427363983d4a675f,11011110,0.0095491483807563782,0.05486612394452095
qcontrol_78ded0b40eb2b27c,qseq_82634b9ef4f722e5,length_32_gap_8,qcluster_locked_test_0025,qmask_427363983d4a675f,11011110,0.013175851665437222,0.062962271273136139
qcontrol_71ea360fb8af9930,qseq_6ef95ecc92d78a0d,length_32_gap_8,qcluster_locked_test_0026,qmask_427363983d4a675f,11011110,0.016566801816225052,0.073682054877281189
qcontrol_72a8669bdefe41bb,qseq_f0c0d20f4295b441,length_32_gap_8,qcluster_locked_test_0027,qmask_427363983d4a675f,11011110,0.010325814597308636,0.056976631283760071
qcontrol_f5c79c084a82ed83,qseq_51ad2d071f274bd7,length_32_gap_8,qcluster_locked_test_0028,qmask_427363983d4a675f,11011110,0.009884171187877655,0.055460341274738312
qcontrol_f098e7503bd78cfe,qseq_7678c941fe0cdde4,length_32_gap_8,qcluster_locked_test_0029,qmask_427363983d4a675f,11011110,0.011806648224592209,0.057712219655513763
qcontrol_cb985f45087fdfca,qseq_abd4c2b648d044b2,length_32_gap_8,qcluster_locked_test_0030,qmask_427363983d4a675f,11011110,0.012716335244476795,0.06263568252325058
