prompt_id,source_prompt_id,family_id,source_cluster_id,mask_id,mask_bits,kl_clean_to_intervened,total_variation
qcontrol_c5d556b6682f2e9e,qseq_53402bb64e257a4c,length_32_gap_8,qcluster_locked_test_0000,qmask_4f926e356a625a67,01111100,0.036334477365016937,0.11042142659425735
qcontrol_3d6dbff59ab97005,qseq_063d071a40a8b975,length_32_gap_8,qcluster_locked_test_0001,qmask_4f926e356a625a67,01111100,0.030871979892253876,0.091825269162654877
qcontrol_8e25272f30b8e1de,qseq_2b370320aa590f4a,length_32_gap_8,qcluster_locked_test_0002,qmask_4f926e356a625a67,01111100,0.013915376737713814,0.065368384122848511
qcontrol_ed063b6dcfd273db,qseq_62b2d7ba14f996e1,length_32_gap_8,qcluster_locked_test_0003,qmask_4f926e356a625a67,01111100,0.016794349998235703,0.070792987942695618
qcontrol_87bb7269d412a6c7,qseq_fc7b565459a3a9ce,length_32_gap_8,qcluster_locked_test_0004,qmask_4f926e356a625a67,01111100,0.024312354624271393,0.085579633712768555
qcontrol_d2eaa38d58430d7b,qseq_855a3f3d1d296cbe,length_32_gap_8,qcluster_locked_test_0005,qmask_4f926e356a625a67,01111100,0.02440425381064415,0.088721014559268951
qcontrol_24a73d4e4e356b54,qseq_bc6acb92c469fef7,length_32_gap_8,qcluster_locked_test_0006,qmask_4f926e356a625a67,01111100,0.12067721784114838,0.19784058630466461
qcontrol_ab5c86c16f90de00,qseq_8ca468b64440782b,length_32_gap_8,qcluster_locked_test_0007,qmask_4f926e356a625a67,01111100,0.082983747124671936,0.15915301442146301
qcontrol_0467ed43d31cbc26,qseq_3f0bb4eae1f06111,length_32_gap_8,qcluster_locked_test_0008,qmask_4f926e356a625a67,01111100,0.019462266936898232,0.077068708837032318
qcontrol_5c4599f1f5150e80,qseq_545d27c10930d8dd,length_32_gap_8,qcluster_locked_test_0009,qmask_4f926e356a625a67,01111100,0.038494788110256195,0.10938545316457748
qcontrol_fdba721e76249374,qseq_c3a8805eafca385c,length_32_gap_8,qcluster_locked_test_0010,qmask_4f926e356a625a67,01111100,0.0079275127500295639,0.048839755356311798
qcontrol_cd16adfe498ec968,qseq_1428b8e6a33bc034,length_32_gap_8,qcluster_locked_test_0011,qmask_4f926e356a625a67,01111100,0.020858634263277054,0.076331302523612976
qcontrol_e729907ce7696489,qseq_dc48f394593bb573,length_32_gap_8,qcluster_locked_test_0012,qmask_4f926e356a625a67,01111100,0.27734005451202393,0.28082641959190369
qcontrol_668baf9e860bb680,qseq_84d55da9d8a1c3ec,length_32_gap_8,qcluster_locked_test_0013,qmask_4f926e356a625a67,01111100,0.0074485726654529572,0.048397377133369446
qcontrol_c97b66b834c31d9f,qseq_ad68734add0ca673,length_32_gap_8,qcluster_locked_test_0014,qmask_4f926e356a625a67,01111100,0.012016529217362404,0.060797039419412613
qcontrol_ebc54483bd759f2a,qseq_5d11ec40ee5e399c,length_32_gap_8,qcluster_locked_test_0015,qmask_4f926e356a625a67,01111100,0.0056881285272538662,0.041708990931510925
qcontrol_2098c49dc5af26a7,qseq_933613b63b18ef39,length_32_gap_8,qcluster_locked_test_0016,qmask_4f926e356a625a67,01111100,0.012401793152093887,0.059908993542194366
qcontrol_cec492db00e0f846,qseq_7982e3353af95b5a,length_32_gap_8,qcluster_locked_test_0017,qmask_4f926e356a625a67,01111100,0.18257349729537964,0.22569453716278076
qcontrol_92c8ca14ea81d17a,qseq_957f2217c38cbb43,length_32_gap_8,qcluster_locked_test_0018,qmask_4f926e356a625a67,01111100,0.03481673076748848,0.10151813924312592
