prompt_id,source_prompt_id,family_id,source_cluster_id,mask_id,mask_bits,kl_clean_to_intervened,total_variation
qcontrol_c5d556b6682f2e9e,qseq_53402bb64e257a4c,length_32_gap_8,qcluster_locked_test_0000,qmask_527883050feb9009,11001011,0.017114156857132912,0.076264292001724243
qcontrol_3d6dbff59ab97005,qseq_063d071a40a8b975,length_32_gap_8,qcluster_locked_test_0001,qmask_527883050feb9009,11001011,0.012610297650098801,0.062983393669128418
qcontrol_8e25272f30b8e1de,qseq_2b370320aa590f4a,length_32_gap_8,qcluster_locked_test_0002,qmask_527883050feb9009,11001011,0.015362714417278767,0.069159626960754395
qcontrol_ed063b6dcfd273db,qseq_62b2d7ba14f996e1,length_32_gap_8,qcluster_locked_test_0003,qmask_527883050feb9009,11001011,0.019107714295387268,0.076804026961326599
qcontrol_87bb7269d412a6c7,qseq_fc7b565459a3a9ce,length_32_gap_8,qcluster_locked_test_0004,qmask_527883050feb9009,11001011,0.018244223669171333,0.071939066052436829
qcontrol_d2eaa38d58430d7b,qseq_855a3f3d1d296cbe,length_32_gap_8,qcluster_locked_test_0005,qmask_527883050feb9009,11001011,0.0073780007660388947,0.047968789935112
qcontrol_24a73d4e4e356b54,qseq_bc6acb92c469fef7,length_32_gap_8,qcluster_locked_test_0006,qmask_527883050feb9009,11001011,0.080314211547374725,0.16500663757324219
qcontrol_ab5c86c16f90de00,qseq_8ca468b64440782b,length_32_gap_8,qcluster_locked_test_0007,qmask_527883050feb9009,11001011,0.031793639063835144,0.098970592021942139
qcontrol_0467ed43d31cbc26,qseq_3f0bb4eae1f06111,length_32_gap_8,qcluster_locked_test_0008,qmask_527883050feb9009,11001011,0.023962536826729774,0.086563698947429657
qcontrol_5c4599f1f5150e80,qseq_545d27c10930d8dd,length_32_gap_8,qcluster_locked_test_0009,qmask_527883050feb9009,11001011,0.013624351471662521,0.066117949783802032
qcontrol_fdba721e76249374,qseq_c3a8805eafca385c,length_32_gap_8,qcluster_locked_test_0010,qmask_527883050feb9009,11001011,0.010863306932151318,0.059642985463142395
qcontrol_cd16adfe498ec968,qseq_1428b8e6a33bc034,length_32_gap_8,qcluster_locked_test_0011,qmask_527883050feb9009,11001011,0.013738250359892845,0.065581940114498138
qcontrol_e729907ce7696489,qseq_dc48f394593bb573,length_32_gap_8,qcluster_locked_test_0012,qmask_527883050feb9009,11001011,0.11744392663240433,0.19034777581691742
qcontrol_668baf9e860bb680,qseq_84d55da9d8a1c3ec,length_32_gap_8,qcluster_locked_test_0013,qmask_527883050feb9009,11001011,0.023222493007779121,0.080902099609375
qcontrol_c97b66b834c31d9f,qseq_ad68734add0ca673,length_32_gap_8,qcluster_locked_test_0014,qmask_527883050feb9009,11001011,0.019838487729430199,0.078853756189346313
qcontrol_ebc54483bd759f2a,qseq_5d11ec40ee5e399c,length_32_gap_8,qcluster_locked_test_0015,qmask_527883050feb9009,11001011,0.010411372408270836,0.056704401969909668
qcontrol_2098c49dc5af26a7,qseq_933613b63b18ef39,length_32_gap_8,qcluster_locked_test_0016,qmask_527883050feb9009,11001011,0.012272229418158531,0.06046285480260849
qcontrol_cec492db00e0f846,qseq_7982e3353af95b5a,length_32_gap_8,qcluster_locked_test_0017,qmask_527883050feb9009,11001011,0.15416333079338074,0.20544992387294769
qcontrol_92c8ca14ea81d17a,qseq_957f2217c38cbb43,length_32_gap_8,qcluster_locked_test_0018,qmask_527883050feb9009,11001011,0.018291089683771133,0.071072787046432495
qcontrol_9ef38e7933073940,qseq_1ca6609274aa0efd,length_32_gap_8,qcluster_locked_test_0019,qmask_527883050feb9009,11001011,0.016391463577747345,0.068140685558319092
qcontrol_7bfadcf22fb593a6,qseq_636926d60e9fc6a4,length_32_gap_8,qcluster_locked_test_0020,qmask_527883050feb9009,11001011,0.01404586061835289,0.065335027873516083
qcontrol_4adc18eeedd3ef7a,qseq_2b0e460c32b3f17b,length_32_gap_8,qcluster_locked_test_0021,qmask_527883050feb9009,11001011,0.011356431990861893,0.057068128138780594
qcontrol_93715968b217048a,qseq_597ab7a897f078ee,length_32_gap_8,qcluster_locked_test_0022,qmask_527883050feb9009,11001011,0.02019239217042923,0.078024856746196747
qcontrol_dda2501e624acf62,qseq_ab085848a2ffe2d7,length_32_gap_8,qcluster_locked_test_0023,qmask_527883050feb9009,11001011,0.021959565579891205,0.084820516407489777
qcontrol_0f0dccc5c19f1f5d,qseq_743feac99f8e9594,length_32_gap_8,qcluster_locked_test_0024,qmask_527883050feb9009,11001011,0.0093503370881080627,0.054109763354063034
qcontrol_78ded0b40eb2b27c,qseq_82634b9ef4f722e5,length_32_gap_8,qcluster_locked_test_0025,qmask_527883050feb9009,11001011,0.0083236377686262131,0.050326969474554062
qcontrol_71ea360fb8af9930,qseq_6ef95ecc92d78a0d,length_32_gap_8,qcluster_locked_test_0026,qmask_527883050feb9009,11001011,0.014553822576999664,0.066654495894908905
qcontrol_72a8669bdefe41bb,qseq_f0c0d20f4295b441,length_32_gap_8,qcluster_locked_test_0027,qmask_527883050feb9009,11001011,0.005303963553160429,0.040740951895713806
qcontrol_f5c79c084a82ed83,qseq_51ad2d071f274bd7,length_32_gap_8,qcluster_locked_test_0028,qmask_527883050feb9009,11001011,0.0093311835080385208,0.053618386387825012
qcontrol_f098e7503bd78cfe,qseq_7678c941fe0cdde4,length_32_gap_8,qcluster_locked_test_0029,qmask_527883050feb9009,11001011,0.008734511211514473,0.049573976546525955
qcontrol_cb985f45087fdfca,qseq_abd4c2b648d044b2,length_32_gap_8,qcluster_locked_test_0030,qmask_527883050feb9009,11001011,0.011517115868628025,0.060056924819946289
