prompt_id,source_prompt_id,family_id,source_cluster_id,mask_id,mask_bits,kl_clean_to_intervened,total_variation
qcontrol_c5d556b6682f2e9e,qseq_53402bb64e257a4c,length_32_gap_8,qcluster_locked_test_0000,qmask_5febbac13cd7abee,00010110,0.005400155670940876,0.042499907314777374
qcontrol_3d6dbff59ab97005,qseq_063d071a40a8b975,length_32_gap_8,qcluster_locked_test_0001,qmask_5febbac13cd7abee,00010110,0.0030730916187167168,0.032407265156507492
qcontrol_8e25272f30b8e1de,qseq_2b370320aa590f4a,length_32_gap_8,qcluster_locked_test_0002,qmask_5febbac13cd7abee,00010110,0.00098031619563698769,0.017459206283092499
qcontrol_ed063b6dcfd273db,qseq_62b2d7ba14f996e1,length_32_gap_8,qcluster_locked_test_0003,qmask_5febbac13cd7abee,00010110,0.002467738464474678,0.027974080294370651
qcontrol_87bb7269d412a6c7,qseq_fc7b565459a3a9ce,length_32_gap_8,qcluster_locked_test_0004,qmask_5febbac13cd7abee,00010110,0.0026661832816898823,0.028161879628896713
qcontrol_d2eaa38d58430d7b,qseq_855a3f3d1d296cbe,length_32_gap_8,qcluster_locked_test_0005,qmask_5febbac13cd7abee,00010110,0.0024373196065425873,0.027870830148458481
qcontrol_24a73d4e4e356b54,qseq_bc6acb92c469fef7,length_32_gap_8,qcluster_locked_test_0006,qmask_5febbac13cd7abee,00010110,0.0063901515677571297,0.044968295842409134
qcontrol_ab5c86c16f90de00,qseq_8ca468b64440782b,length_32_gap_8,qcluster_locked_test_0007,qmask_5febbac13cd7abee,00010110,0.0035915353801101446,0.033516716212034225
qcontrol_0467ed43d31cbc26,qseq_3f0bb4eae1f06111,length_32_gap_8,qcluster_locked_test_0008,qmask_5febbac13cd7abee,00010110,0.0023569769691675901,0.027491828426718712
qcontrol_5c4599f1f5150e80,qseq_545d27c10930d8dd,length_32_gap_8,qcluster_locked_test_0009,qmask_5febbac13cd7abee,00010110,0.003482339670881629,0.033588822931051254
qcontrol_fdba721e76249374,qseq_c3a8805eafca385c,length_32_gap_8,qcluster_locked_test_0010,qmask_5febbac13cd7abee,00010110,0.0013333713868632913,0.020536335185170174
qcontrol_cd16adfe498ec968,qseq_1428b8e6a33bc034,length_32_gap_8,qcluster_locked_test_0011,qmask_5febbac13cd7abee,00010110,0.0013579040532931685,0.020721029490232468
qcontrol_e729907ce7696489,qseq_dc48f394593bb573,length_32_gap_8,qcluster_locked_test_0012,qmask_5febbac13cd7abee,00010110,0.0030904009472578764,0.030925445258617401
qcontrol_668baf9e860bb680,qseq_84d55da9d8a1c3ec,length_32_gap_8,qcluster_locked_test_0013,qmask_5febbac13cd7abee,00010110,0.0013608734589070082,0.02048151008784771
qcontrol_c97b66b834c31d9f,qseq_ad68734add0ca673,length_32_gap_8,qcluster_locked_test_0014,qmask_5febbac13cd7abee,00010110,0.0019401470199227333,0.025439102202653885
qcontrol_ebc54483bd759f2a,qseq_5d11ec40ee5e399c,length_32_gap_8,qcluster_locked_test_0015,qmask_5febbac13cd7abee,00010110,0.00055279373191297054,0.013077264651656151
