prompt_id,source_prompt_id,family_id,source_cluster_id,mask_id,mask_bits,kl_clean_to_intervened,total_variation
qcontrol_c5d556b6682f2e9e,qseq_53402bb64e257a4c,length_32_gap_8,qcluster_locked_test_0000,qmask_693dc55993aa4fa9,11001111,0.020055521279573441,0.082731142640113831
qcontrol_3d6dbff59ab97005,qseq_063d071a40a8b975,length_32_gap_8,qcluster_locked_test_0001,qmask_693dc55993aa4fa9,11001111,0.014559250324964523,0.067763447761535645
qcontrol_8e25272f30b8e1de,qseq_2b370320aa590f4a,length_32_gap_8,qcluster_locked_test_0002,qmask_693dc55993aa4fa9,11001111,0.016572613269090652,0.071856528520584106
qcontrol_ed063b6dcfd273db,qseq_62b2d7ba14f996e1,length_32_gap_8,qcluster_locked_test_0003,qmask_693dc55993aa4fa9,11001111,0.022406088188290596,0.083407759666442871
qcontrol_87bb7269d412a6c7,qseq_fc7b565459a3a9ce,length_32_gap_8,qcluster_locked_test_0004,qmask_693dc55993aa4fa9,11001111,0.022630229592323303,0.079949744045734406
qcontrol_d2eaa38d58430d7b,qseq_855a3f3d1d296cbe,length_32_gap_8,qcluster_locked_test_0005,qmask_693dc55993aa4fa9,11001111,0.0070825852453708649,0.046738751232624054
qcontrol_24a73d4e4e356b54,qseq_bc6acb92c469fef7,length_32_gap_8,qcluster_locked_test_0006,qmask_693dc55993aa4fa9,11001111,0.078209005296230316,0.16234827041625977
qcontrol_ab5c86c16f90de00,qseq_8ca468b64440782b,length_32_gap_8,qcluster_locked_test_0007,qmask_693dc55993aa4fa9,11001111,0.042052526026964188,0.11416365206241608
qcontrol_0467ed43d31cbc26,qseq_3f0bb4eae1f06111,length_32_gap_8,qcluster_locked_test_0008,qmask_693dc55993aa4fa9,11001111,0.028935346752405167,0.095136880874633789
qcontrol_5c4599f1f5150e80,qseq_545d27c10930d8dd,length_32_gap_8,qcluster_locked_test_0009,qmask_693dc55993aa4fa9,11001111,0.014655553735792637,0.068771734833717346
qcontrol_fdba721e76249374,qseq_c3a8805eafca385c,length_32_gap_8,qcluster_locked_test_0010,qmask_693dc55993aa4fa9,11001111,0.013010262511670589,0.064879760146141052
qcontrol_cd16adfe498ec968,qseq_1428b8e6a33bc034,length_32_gap_8,qcluster_locked_test_0011,qmask_693dc55993aa4fa9,11001111,0.01490752212703228,0.067790709435939789
qcontrol_e729907ce7696489,qseq_dc48f394593bb573,length_32_gap_8,qcluster_locked_test_0012,qmask_693dc55993aa4fa9,11001111,0.11324925720691681,0.18714089691638947
qcontrol_668baf9e860bb680,qseq_84d55da9d8a1c3ec,length_32_gap_8,qcluster_locked_test_0013,qmask_693dc55993aa4fa9,11001111,0.024829830974340439,0.083575785160064697
qcontrol_c97b66b834c31d9f,qseq_ad68734add0ca673,length_32_gap_8,qcluster_locked_test_0014,qmask_693dc55993aa4fa9,11001111,0.019081704318523407,0.07907480001449585
qcontrol_ebc54483bd759f2a,qseq_5d11ec40ee5e399c,length_32_gap_8,qcluster_locked_test_0015,qmask_693dc55993aa4fa9,11001111,0.010373333469033241,0.05711200088262558
qcontrol_2098c49dc5af26a7,qseq_933613b63b18ef39,length_32_gap_8,qcluster_locked_test_0016,qmask_693dc55993aa4fa9,11001111,0.011255977675318718,0.058167014271020889
qcontrol_cec492db00e0f846,qseq_7982e3353af95b5a,length_32_gap_8,qcluster_locked_test_0017,qmask_693dc55993aa4fa9,11001111,0.16786438226699829,0.2148110568523407
qcontrol_92c8ca14ea81d17a,qseq_957f2217c38cbb43,length_32_gap_8,qcluster_locked_test_0018,qmask_693dc55993aa4fa9,11001111,0.017620036378502846,0.070305459201335907
