prompt_id,source_prompt_id,family_id,source_cluster_id,mask_id,mask_bits,kl_clean_to_intervened,total_variation
qcontrol_c5d556b6682f2e9e,qseq_53402bb64e257a4c,length_32_gap_8,qcluster_locked_test_0000,qmask_7c330068eacbeec8,01111110,0.037200935184955597,0.1112920269370079
qcontrol_3d6dbff59ab97005,qseq_063d071a40a8b975,length_32_gap_8,qcluster_locked_test_0001,qmask_7c330068eacbeec8,01111110,0.029388515278697014,0.088290542364120483
qcontrol_8e25272f30b8e1de,qseq_2b370320aa590f4a,length_32_gap_8,qcluster_locked_test_0002,qmask_7c330068eacbeec8,01111110,0.013662463985383511,0.064806491136550903
qcontrol_ed063b6dcfd273db,qseq_62b2d7ba14f996e1,length_32_gap_8,qcluster_locked_test_0003,qmask_7c330068eacbeec8,01111110,0.017126640304923058,0.071655228734016418
qcontrol_87bb7269d412a6c7,qseq_fc7b565459a3a9ce,length_32_gap_8,qcluster_locked_test_0004,qmask_7c330068eacbeec8,01111110,0.022198723629117012,0.081228464841842651
qcontrol_d2eaa38d58430d7b,qseq_855a3f3d1d296cbe,length_32_gap_8,qcluster_locked_test_0005,qmask_7c330068eacbeec8,01111110,0.022631768137216568,0.085039153695106506
qcontrol_24a73d4e4e356b54,qseq_bc6acb92c469fef7,length_32_gap_8,qcluster_locked_test_0006,qmask_7c330068eacbeec8,01111110,0.13151787221431732,0.20744192600250244
qcontrol_ab5c86c16f90de00,qseq_8ca468b64440782b,length_32_gap_8,qcluster_locked_test_0007,qmask_7c330068eacbeec8,01111110,0.08083111047744751,0.15690231323242188
qcontrol_0467ed43d31cbc26,qseq_3f0bb4eae1f06111,length_32_gap_8,qcluster_locked_test_0008,qmask_7c330068eacbeec8,01111110,0.019224831834435463,0.076227299869060516
qcontrol_5c4599f1f5150e80,qseq_545d27c10930d8dd,length_32_gap_8,qcluster_locked_test_0009,qmask_7c330068eacbeec8,01111110,0.038697078824043274,0.10985070466995239
qcontrol_fdba721e76249374,qseq_c3a8805eafca385c,length_32_gap_8,qcluster_locked_test_0010,qmask_7c330068eacbeec8,01111110,0.0080262329429388046,0.049543872475624084
qcontrol_cd16adfe498ec968,qseq_1428b8e6a33bc034,length_32_gap_8,qcluster_locked_test_0011,qmask_7c330068eacbeec8,01111110,0.02319001592695713,0.081555202603340149
qcontrol_e729907ce7696489,qseq_dc48f394593bb573,length_32_gap_8,qcluster_locked_test_0012,qmask_7c330068eacbeec8,01111110,0.27596139907836914,0.27991887927055359
qcontrol_668baf9e860bb680,qseq_84d55da9d8a1c3ec,length_32_gap_8,qcluster_locked_test_0013,qmask_7c330068eacbeec8,01111110,0.0072606080211699009,0.047180458903312683
qcontrol_c97b66b834c31d9f,qseq_ad68734add0ca673,length_32_gap_8,qcluster_locked_test_0014,qmask_7c330068eacbeec8,01111110,0.011647792533040047,0.057733833789825439
qcontrol_ebc54483bd759f2a,qseq_5d11ec40ee5e399c,length_32_gap_8,qcluster_locked_test_0015,qmask_7c330068eacbeec8,01111110,0.0060627711936831474,0.043584428727626801
qcontrol_2098c49dc5af26a7,qseq_933613b63b18ef39,length_32_gap_8,qcluster_locked_test_0016,qmask_7c330068eacbeec8,01111110,0.012077048420906067,0.059597134590148926
qcontrol_cec492db00e0f846,qseq_7982e3353af95b5a,length_32_gap_8,qcluster_locked_test_0017,qmask_7c330068eacbeec8,01111110,0.17973035573959351,0.22474788129329681
qcontrol_92c8ca14ea81d17a,qseq_957f2217c38cbb43,length_32_gap_8,qcluster_locked_test_0018,qmask_7c330068eacbeec8,01111110,0.035035863518714905,0.10129177570343018
qcontrol_9ef38e7933073940,qseq_1ca6609274aa0efd,length_32_gap_8,qcluster_locked_test_0019,qmask_7c330068eacbeec8,01111110,0.031299471855163574,0.083792015910148621
qcontrol_7bfadcf22fb593a6,qseq_636926d60e9fc6a4,length_32_gap_8,qcluster_locked_test_0020,qmask_7c330068eacbeec8,01111110,0.021004339680075645,0.077950015664100647
qcontrol_4adc18eeedd3ef7a,qseq_2b0e460c32b3f17b,length_32_gap_8,qcluster_locked_test_0021,qmask_7c330068eacbeec8,01111110,0.069923795759677887,0.14841598272323608
qcontrol_93715968b217048a,qseq_597ab7a897f078ee,length_32_gap_8,qcluster_locked_test_0022,qmask_7c330068eacbeec8,01111110,0.013044677674770355,0.061884574592113495
qcontrol_dda2501e624acf62,qseq_ab085848a2ffe2d7,length_32_gap_8,qcluster_locked_test_0023,qmask_7c330068eacbeec8,01111110,0.022553559392690659,0.085547596216201782
qcontrol_0f0dccc5c19f1f5d,qseq_743feac99f8e9594,length_32_gap_8,qcluster_locked_test_0024,qmask_7c330068eacbeec8,01111110,0.044070035219192505,0.116782046854496
qcontrol_78ded0b40eb2b27c,qseq_82634b9ef4f722e5,length_32_gap_8,qcluster_locked_test_0025,qmask_7c330068eacbeec8,01111110,0.020363356918096542,0.076923742890357971
qcontrol_71ea360fb8af9930,qseq_6ef95ecc92d78a0d,length_32_gap_8,qcluster_locked_test_0026,qmask_7c330068eacbeec8,01111110,0.040870063006877899,0.11032959073781967
