prompt_id,source_prompt_id,family_id,source_cluster_id,mask_id,mask_bits,kl_clean_to_intervened,total_variation
qcontrol_c5d556b6682f2e9e,qseq_53402bb64e257a4c,length_32_gap_8,qcluster_locked_test_0000,qmask_7c7f09c2f082e17d,01111000,0.034310635179281235,0.10689183324575424
qcontrol_3d6dbff59ab97005,qseq_063d071a40a8b975,length_32_gap_8,qcluster_locked_test_0001,qmask_7c7f09c2f082e17d,01111000,0.026653407141566277,0.083431839942932129
qcontrol_8e25272f30b8e1de,qseq_2b370320aa590f4a,length_32_gap_8,qcluster_locked_test_0002,qmask_7c7f09c2f082e17d,01111000,0.012435145676136017,0.061926018446683884
qcontrol_ed063b6dcfd273db,qseq_62b2d7ba14f996e1,length_32_gap_8,qcluster_locked_test_0003,qmask_7c7f09c2f082e17d,01111000,0.015497265383601189,0.068255439400672913
qcontrol_87bb7269d412a6c7,qseq_fc7b565459a3a9ce,length_32_gap_8,qcluster_locked_test_0004,qmask_7c7f09c2f082e17d,01111000,0.020154582336544991,0.07872723788022995
qcontrol_d2eaa38d58430d7b,qseq_855a3f3d1d296cbe,length_32_gap_8,qcluster_locked_test_0005,qmask_7c7f09c2f082e17d,01111000,0.021913347765803337,0.082595519721508026
qcontrol_24a73d4e4e356b54,qseq_bc6acb92c469fef7,length_32_gap_8,qcluster_locked_test_0006,qmask_7c7f09c2f082e17d,01111000,0.12614065408706665,0.20395147800445557
qcontrol_ab5c86c16f90de00,qseq_8ca468b64440782b,length_32_gap_8,qcluster_locked_test_0007,qmask_7c7f09c2f082e17d,01111000,0.078113004565238953,0.15371459722518921
qcontrol_0467ed43d31cbc26,qseq_3f0bb4eae1f06111,length_32_gap_8,qcluster_locked_test_0008,qmask_7c7f09c2f082e17d,01111000,0.016001470386981964,0.069239005446434021
qcontrol_5c4599f1f5150e80,qseq_545d27c10930d8dd,length_32_gap_8,qcluster_locked_test_0009,qmask_7c7f09c2f082e17d,01111000,0.037368495017290115,0.10669690370559692
qcontrol_fdba721e76249374,qseq_c3a8805eafca385c,length_32_gap_8,qcluster_locked_test_0010,qmask_7c7f09c2f082e17d,01111000,0.0073197311721742153,0.046758309006690979
qcontrol_cd16adfe498ec968,qseq_1428b8e6a33bc034,length_32_gap_8,qcluster_locked_test_0011,qmask_7c7f09c2f082e17d,01111000,0.021993335336446762,0.078333579003810883
qcontrol_e729907ce7696489,qseq_dc48f394593bb573,length_32_gap_8,qcluster_locked_test_0012,qmask_7c7f09c2f082e17d,01111000,0.28586506843566895,0.28424385190010071
qcontrol_668baf9e860bb680,qseq_84d55da9d8a1c3ec,length_32_gap_8,qcluster_locked_test_0013,qmask_7c7f09c2f082e17d,01111000,0.0065953154116868973,0.045273356139659882
qcontrol_c97b66b834c31d9f,qseq_ad68734add0ca673,length_32_gap_8,qcluster_locked_test_0014,qmask_7c7f09c2f082e17d,01111000,0.013879708014428616,0.065610297024250031
