prompt_id,source_prompt_id,family_id,source_cluster_id,mask_id,mask_bits,kl_clean_to_intervened,total_variation
qcontrol_c5d556b6682f2e9e,qseq_53402bb64e257a4c,length_32_gap_8,qcluster_locked_test_0000,qmask_9ef84ec72720c5bb,00100111,0.010134751908481121,0.052926242351531982
qcontrol_3d6dbff59ab97005,qseq_063d071a40a8b975,length_32_gap_8,qcluster_locked_test_0001,qmask_9ef84ec72720c5bb,00100111,0.024162046611309052,0.083211161196231842
qcontrol_8e25272f30b8e1de,qseq_2b370320aa590f4a,length_32_gap_8,qcluster_locked_test_0002,qmask_9ef84ec72720c5bb,00100111,0.0056328116916120052,0.040707029402256012
qcontrol_ed063b6dcfd273db,qseq_62b2d7ba14f996e1,length_32_gap_8,qcluster_locked_test_0003,qmask_9ef84ec72720c5bb,00100111,0.004938091617077589,0.037242569029331207
qcontrol_87bb7269d412a6c7,qseq_fc7b565459a3a9ce,length_32_gap_8,qcluster_locked_test_0004,qmask_9ef84ec72720c5bb,00100111,0.0066119907423853874,0.044100113213062286
qcontrol_d2eaa38d58430d7b,qseq_855a3f3d1d296cbe,length_32_gap_8,qcluster_locked_test_0005,qmask_9ef84ec72720c5bb,00100111,0.025440458208322525,0.088181465864181519
qcontrol_24a73d4e4e356b54,qseq_bc6acb92c469fef7,length_32_gap_8,qcluster_locked_test_0006,qmask_9ef84ec72720c5bb,00100111,0.066422909498214722,0.14387041330337524
qcontrol_ab5c86c16f90de00,qseq_8ca468b64440782b,length_32_gap_8,qcluster_locked_test_0007,qmask_9ef84ec72720c5bb,00100111,0.097545892000198364,0.17180845141410828
qcontrol_0467ed43d31cbc26,qseq_3f0bb4eae1f06111,length_32_gap_8,qcluster_locked_test_0008,qmask_9ef84ec72720c5bb,00100111,0.0073342891409993172,0.04512544721364975
qcontrol_5c4599f1f5150e80,qseq_545d27c10930d8dd,length_32_gap_8,qcluster_locked_test_0009,qmask_9ef84ec72720c5bb,00100111,0.036214150488376617,0.10614994168281555
