prompt_id,source_prompt_id,family_id,source_cluster_id,mask_id,mask_bits,kl_clean_to_intervened,total_variation
qcontrol_c5d556b6682f2e9e,qseq_53402bb64e257a4c,length_32_gap_8,qcluster_locked_test_0000,qmask_aa927932235c699d,11011100,0.028292112052440643,0.098280221223831177
qcontrol_3d6dbff59ab97005,qseq_063d071a40a8b975,length_32_gap_8,qcluster_locked_test_0001,qmask_aa927932235c699d,11011100,0.015638303011655807,0.071162261068820953
qcontrol_8e25272f30b8e1de,qseq_2b370320aa590f4a,length_32_gap_8,qcluster_locked_test_0002,qmask_aa927932235c699d,11011100,0.015804454684257507,0.069471843540668488
qcontrol_ed063b6dcfd273db,qseq_62b2d7ba14f996e1,length_32_gap_8,qcluster_locked_test_0003,qmask_aa927932235c699d,11011100,0.024679845198988914,0.086129605770111084
qcontrol_87bb7269d412a6c7,qseq_fc7b565459a3a9ce,length_32_gap_8,qcluster_locked_test_0004,qmask_aa927932235c699d,11011100,0.02621275931596756,0.086198218166828156
qcontrol_d2eaa38d58430d7b,qseq_855a3f3d1d296cbe,length_32_gap_8,qcluster_locked_test_0005,qmask_aa927932235c699d,11011100,0.0055201561190187931,0.041356921195983887
qcontrol_24a73d4e4e356b54,qseq_bc6acb92c469fef7,length_32_gap_8,qcluster_locked_test_0006,qmask_aa927932235c699d,11011100,0.10438479483127594,0.18622076511383057
qcontrol_ab5c86c16f90de00,qseq_8ca468b64440782b,length_32_gap_8,qcluster_locked_test_0007,qmask_aa927932235c699d,11011100,0.031324490904808044,0.099156767129898071
qcontrol_0467ed43d31cbc26,qseq_3f0bb4eae1f06111,length_32_gap_8,qcluster_locked_test_0008,qmask_aa927932235c699d,11011100,0.033077530562877655,0.10439635813236237
qcontrol_5c4599f1f5150e80,qseq_545d27c10930d8dd,length_32_gap_8,qcluster_locked_test_0009,qmask_aa927932235c699d,11011100,0.015274859964847565,0.070729479193687439
qcontrol_fdba721e76249374,qseq_c3a8805eafca385c,length_32_gap_8,qcluster_locked_test_0010,qmask_aa927932235c699d,11011100,0.014366807416081429,0.069159328937530518
qcontrol_cd16adfe498ec968,qseq_1428b8e6a33bc034,length_32_gap_8,qcluster_locked_test_0011,qmask_aa927932235c699d,11011100,0.017735682427883148,0.076238296926021576
qcontrol_e729907ce7696489,qseq_dc48f394593bb573,length_32_gap_8,qcluster_locked_test_0012,qmask_aa927932235c699d,11011100,0.12436818331480026,0.19558027386665344
qcontrol_668baf9e860bb680,qseq_84d55da9d8a1c3ec,length_32_gap_8,qcluster_locked_test_0013,qmask_aa927932235c699d,11011100,0.021814307197928429,0.078366175293922424
qcontrol_c97b66b834c31d9f,qseq_ad68734add0ca673,length_32_gap_8,qcluster_locked_test_0014,qmask_aa927932235c699d,11011100,0.019670639187097549,0.078352577984333038
qcontrol_ebc54483bd759f2a,qseq_5d11ec40ee5e399c,length_32_gap_8,qcluster_locked_test_0015,qmask_aa927932235c699d,11011100,0.010138943791389465,0.056400787085294724
qcontrol_2098c49dc5af26a7,qseq_933613b63b18ef39,length_32_gap_8,qcluster_locked_test_0016,qmask_aa927932235c699d,11011100,0.010903864167630672,0.056775528937578201
qcontrol_cec492db00e0f846,qseq_7982e3353af95b5a,length_32_gap_8,qcluster_locked_test_0017,qmask_aa927932235c699d,11011100,0.21611699461936951,0.24459248781204224
qcontrol_92c8ca14ea81d17a,qseq_957f2217c38cbb43,length_32_gap_8,qcluster_locked_test_0018,qmask_aa927932235c699d,11011100,0.018385671079158783,0.072534769773483276
qcontrol_9ef38e7933073940,qseq_1ca6609274aa0efd,length_32_gap_8,qcluster_locked_test_0019,qmask_aa927932235c699d,11011100,0.020797615870833397,0.078228086233139038
qcontrol_7bfadcf22fb593a6,qseq_636926d60e9fc6a4,length_32_gap_8,qcluster_locked_test_0020,qmask_aa927932235c699d,11011100,0.017875412479043007,0.075261473655700684
qcontrol_4adc18eeedd3ef7a,qseq_2b0e460c32b3f17b,length_32_gap_8,qcluster_locked_test_0021,qmask_aa927932235c699d,11011100,0.019117651507258415,0.074590697884559631
qcontrol_93715968b217048a,qseq_597ab7a897f078ee,length_32_gap_8,qcluster_locked_test_0022,qmask_aa927932235c699d,11011100,0.019133761525154114,0.076029732823371887
qcontrol_dda2501e624acf62,qseq_ab085848a2ffe2d7,length_32_gap_8,qcluster_locked_test_0023,qmask_aa927932235c699d,11011100,0.031054399907588959,0.10233558714389801
qcontrol_0f0dccc5c19f1f5d,qseq_743feac99f8e9594,length_32_gap_8,qcluster_locked_test_0024,qmask_aa927932235c699d,11011100,0.0097226966172456741,0.055318418890237808
qcontrol_78ded0b40eb2b27c,qseq_82634b9ef4f722e5,length_32_gap_8,qcluster_locked_test_0025,qmask_aa927932235c699d,11011100,0.012681826949119568,0.062192648649215698
qcontrol_71ea360fb8af9930,qseq_6ef95ecc92d78a0d,length_32_gap_8,qcluster_locked_test_0026,qmask_aa927932235c699d,11011100,0.01612495444715023,0.072150535881519318
qcontrol_72a8669bdefe41bb,qseq_f0c0d20f4295b441,length_32_gap_8,qcluster_locked_test_0027,qmask_aa927932235c699d,11011100,0.0097073903307318687,0.055969409644603729
qcontrol_f5c79c084a82ed83,qseq_51ad2d071f274bd7,length_32_gap_8,qcluster_locked_test_0028,qmask_aa927932235c699d,11011100,0.008251972496509552,0.050902001559734344
qcontrol_f098e7503bd78cfe,qseq_7678c941fe0cdde4,length_32_gap_8,qcluster_locked_test_0029,qmask_aa927932235c699d,11011100,0.010911078192293644,0.055276431143283844
qcontrol_cb985f45087fdfca,qseq_abd4c2b648d044b2,length_32_gap_8,qcluster_locked_test_0030,qmask_aa927932235c699d,11011100,0.012280808761715889,0.061702005565166473
qcontrol_4eedb1edc907cb3f,qseq_376748c012341f39,length_32_gap_8,qcluster_locked_test_0031,qmask_aa927932235c699d,11011100,0.10060136020183563,0.18370071053504944
qcontrol_ce7e3d2743f6522c,qseq_19d86bb0059dd869,length_32_gap_8,qcluster_locked_test_0032,qmask_aa927932235c699d,11011100,0.01507880724966526,0.067862428724765778
qcontrol_cd891116254bb5de,qseq_c3631e47ce7a3151,length_32_gap_8,qcluster_locked_test_0033,qmask_aa927932235c699d,11011100,0.015665618702769279,0.067753545939922333
qcontrol_b78a15eac9e1d73b,qseq_d7c516de3d15276d,length_32_gap_8,qcluster_locked_test_0034,qmask_aa927932235c699d,11011100,0.027515295892953873,0.092770934104919434
qcontrol_47a96e6006fe81d4,qseq_a0ace0ffe2091903,length_32_gap_8,qcluster_locked_test_0035,qmask_aa927932235c699d,11011100,0.041421033442020416,0.10988646745681763
qcontrol_4b25178f8bfcd58f,qseq_ba465edb70f8e1ca,length_32_gap_8,qcluster_locked_test_0036,qmask_aa927932235c699d,11011100,0.018573598936200142,0.072617426514625549
qcontrol_d15821c919988bba,qseq_76850ece32132587,length_32_gap_8,qcluster_locked_test_0037,qmask_aa927932235c699d,11011100,0.016687903553247452,0.072114378213882446
qcontrol_1ed152e282946d26,qseq_f7a4abff778dac0d,length_32_gap_8,qcluster_locked_test_0038,qmask_aa927932235c699d,11011100,0.03449307382106781,0.10093632340431213
qcontrol_639187d5eabfec69,qseq_e853f0c08b8332c6,length_32_gap_8,qcluster_locked_test_0039,qmask_aa927932235c699d,11011100,0.035765908658504486,0.10888268053531647
qcontrol_645b510cfbaa4148,qseq_076c730602874c8e,length_32_gap_8,qcluster_locked_test_0040,qmask_aa927932235c699d,11011100,0.022867316380143166,0.0834084153175354
qcontrol_0610fb9acf8072f8,qseq_419e4d2a6546e726,length_32_gap_8,qcluster_locked_test_0041,qmask_aa927932235c699d,11011100,0.046682674437761307,0.12032894790172577
qcontrol_3e1b775d651cbe18,qseq_0dee966050bfd253,length_32_gap_8,qcluster_locked_test_0042,qmask_aa927932235c699d,11011100,0.039689566940069199,0.1105419248342514
qcontrol_6640639f17c20a2b,qseq_33d6299f018a63df,length_32_gap_8,qcluster_locked_test_0043,qmask_aa927932235c699d,11011100,0.0092375967651605606,0.053052216768264771
qcontrol_92ea2bf42a9ea623,qseq_1d6ac5c0e2ef6aec,length_32_gap_8,qcluster_locked_test_0044,qmask_aa927932235c699d,11011100,0.060291431844234467,0.14578001201152802
qcontrol_a82ad6489f53d75c,qseq_1a159a1dae28da54,length_32_gap_8,qcluster_locked_test_0045,qmask_aa927932235c699d,11011100,0.018977904692292213,0.075585097074508667
qcontrol_c35a305ca8c70ee5,qseq_d93f64d04e6cfa98,length_32_gap_8,qcluster_locked_test_0046,qmask_aa927932235c699d,11011100,0.036053404211997986,0.1062898188829422
qcontrol_ea32ec7a986b12ef,qseq_dc46b739b3b479f2,length_32_gap_8,qcluster_locked_test_0047,qmask_aa927932235c699d,11011100,0.050938393920660019,0.12312501668930054
qcontrol_d7c2e41273b93372,qseq_53c883855c13ae86,length_32_gap_8,qcluster_locked_test_0048,qmask_aa927932235c699d,11011100,0.017619749531149864,0.073227941989898682
qcontrol_90b2d8a79b134e9b,qseq_e298a08ae621717b,length_32_gap_8,qcluster_locked_test_0049,qmask_aa927932235c699d,11011100,0.017787808552384377,0.074731394648551941
qcontrol_d3a40d21f04937c0,qseq_ea09c5e6da440673,length_32_gap_8,qcluster_locked_test_0050,qmask_aa927932235c699d,11011100,0.021532386541366577,0.081873871386051178
