prompt_id,source_prompt_id,family_id,source_cluster_id,mask_id,mask_bits,kl_clean_to_intervened,total_variation
qcontrol_c5d556b6682f2e9e,qseq_53402bb64e257a4c,length_32_gap_8,qcluster_locked_test_0000,qmask_ac55e1313a50fb45,01101101,0.030039595440030098,0.098928675055503845
qcontrol_3d6dbff59ab97005,qseq_063d071a40a8b975,length_32_gap_8,qcluster_locked_test_0001,qmask_ac55e1313a50fb45,01101101,0.030792087316513062,0.093487158417701721
qcontrol_8e25272f30b8e1de,qseq_2b370320aa590f4a,length_32_gap_8,qcluster_locked_test_0002,qmask_ac55e1313a50fb45,01101101,0.013231148943305016,0.063947677612304688
qcontrol_ed063b6dcfd273db,qseq_62b2d7ba14f996e1,length_32_gap_8,qcluster_locked_test_0003,qmask_ac55e1313a50fb45,01101101,0.014936972409486771,0.066534265875816345
qcontrol_87bb7269d412a6c7,qseq_fc7b565459a3a9ce,length_32_gap_8,qcluster_locked_test_0004,qmask_ac55e1313a50fb45,01101101,0.019884603098034859,0.077688395977020264
qcontrol_d2eaa38d58430d7b,qseq_855a3f3d1d296cbe,length_32_gap_8,qcluster_locked_test_0005,qmask_ac55e1313a50fb45,01101101,0.020225778222084045,0.079454660415649414
qcontrol_24a73d4e4e356b54,qseq_bc6acb92c469fef7,length_32_gap_8,qcluster_locked_test_0006,qmask_ac55e1313a50fb45,01101101,0.097658216953277588,0.1783502995967865
qcontrol_ab5c86c16f90de00,qseq_8ca468b64440782b,length_32_gap_8,qcluster_locked_test_0007,qmask_ac55e1313a50fb45,01101101,0.10032820701599121,0.17532737553119659
qcontrol_0467ed43d31cbc26,qseq_3f0bb4eae1f06111,length_32_gap_8,qcluster_locked_test_0008,qmask_ac55e1313a50fb45,01101101,0.018741464242339134,0.074382990598678589
qcontrol_5c4599f1f5150e80,qseq_545d27c10930d8dd,length_32_gap_8,qcluster_locked_test_0009,qmask_ac55e1313a50fb45,01101101,0.036725349724292755,0.10674960911273956
qcontrol_fdba721e76249374,qseq_c3a8805eafca385c,length_32_gap_8,qcluster_locked_test_0010,qmask_ac55e1313a50fb45,01101101,0.0070288502611219883,0.046352338045835495
