prompt_id,source_prompt_id,family_id,source_cluster_id,mask_id,mask_bits,kl_clean_to_intervened,total_variation
qcontrol_c5d556b6682f2e9e,qseq_53402bb64e257a4c,length_32_gap_8,qcluster_locked_test_0000,qmask_af3070b33fa6727a,01000111,0.0035817939788103104,0.034441817551851273
qcontrol_3d6dbff59ab97005,qseq_063d071a40a8b975,length_32_gap_8,qcluster_locked_test_0001,qmask_af3070b33fa6727a,01000111,0.0076952539384365082,0.04912123829126358
qcontrol_8e25272f30b8e1de,qseq_2b370320aa590f4a,length_32_gap_8,qcluster_locked_test_0002,qmask_af3070b33fa6727a,01000111,0.0054107853211462498,0.040409740060567856
qcontrol_ed063b6dcfd273db,qseq_62b2d7ba14f996e1,length_32_gap_8,qcluster_locked_test_0003,qmask_af3070b33fa6727a,01000111,0.0074242986738681793,0.048300623893737793
qcontrol_87bb7269d412a6c7,qseq_fc7b565459a3a9ce,length_32_gap_8,qcluster_locked_test_0004,qmask_af3070b33fa6727a,01000111,0.0059798620641231537,0.042379237711429596
qcontrol_d2eaa38d58430d7b,qseq_855a3f3d1d296cbe,length_32_gap_8,qcluster_locked_test_0005,qmask_af3070b33fa6727a,01000111,0.0025932537391781807,0.027761917561292648
qcontrol_24a73d4e4e356b54,qseq_bc6acb92c469fef7,length_32_gap_8,qcluster_locked_test_0006,qmask_af3070b33fa6727a,01000111,0.020950984209775925,0.081481173634529114
qcontrol_ab5c86c16f90de00,qseq_8ca468b64440782b,length_32_gap_8,qcluster_locked_test_0007,qmask_af3070b33fa6727a,01000111,0.011609750799834728,0.060027822852134705
qcontrol_0467ed43d31cbc26,qseq_3f0bb4eae1f06111,length_32_gap_8,qcluster_locked_test_0008,qmask_af3070b33fa6727a,01000111,0.0082422727718949318,0.049803853034973145
qcontrol_5c4599f1f5150e80,qseq_545d27c10930d8dd,length_32_gap_8,qcluster_locked_test_0009,qmask_af3070b33fa6727a,01000111,0.0061864256858825684,0.045257478952407837
qcontrol_fdba721e76249374,qseq_c3a8805eafca385c,length_32_gap_8,qcluster_locked_test_0010,qmask_af3070b33fa6727a,01000111,0.0030780965462327003,0.030281862244009972
qcontrol_cd16adfe498ec968,qseq_1428b8e6a33bc034,length_32_gap_8,qcluster_locked_test_0011,qmask_af3070b33fa6727a,01000111,0.0044956272467970848,0.035535998642444611
qcontrol_e729907ce7696489,qseq_dc48f394593bb573,length_32_gap_8,qcluster_locked_test_0012,qmask_af3070b33fa6727a,01000111,0.01723499596118927,0.072883777320384979
qcontrol_668baf9e860bb680,qseq_84d55da9d8a1c3ec,length_32_gap_8,qcluster_locked_test_0013,qmask_af3070b33fa6727a,01000111,0.007558044046163559,0.045530345290899277
qcontrol_c97b66b834c31d9f,qseq_ad68734add0ca673,length_32_gap_8,qcluster_locked_test_0014,qmask_af3070b33fa6727a,01000111,0.0071510449051856995,0.048962712287902832
qcontrol_ebc54483bd759f2a,qseq_5d11ec40ee5e399c,length_32_gap_8,qcluster_locked_test_0015,qmask_af3070b33fa6727a,01000111,0.004265152383595705,0.03683708980679512
qcontrol_2098c49dc5af26a7,qseq_933613b63b18ef39,length_32_gap_8,qcluster_locked_test_0016,qmask_af3070b33fa6727a,01000111,0.0037321376148611307,0.033854551613330841
qcontrol_cec492db00e0f846,qseq_7982e3353af95b5a,length_32_gap_8,qcluster_locked_test_0017,qmask_af3070b33fa6727a,01000111,0.0079479450359940529,0.050401050597429276
qcontrol_92c8ca14ea81d17a,qseq_957f2217c38cbb43,length_32_gap_8,qcluster_locked_test_0018,qmask_af3070b33fa6727a,01000111,0.0086803194135427475,0.047702718526124954
qcontrol_9ef38e7933073940,qseq_1ca6609274aa0efd,length_32_gap_8,qcluster_locked_test_0019,qmask_af3070b33fa6727a,01000111,0.0071739209815859795,0.046185940504074097
qcontrol_7bfadcf22fb593a6,qseq_636926d60e9fc6a4,length_32_gap_8,qcluster_locked_test_0020,qmask_af3070b33fa6727a,01000111,0.0054471683688461781,0.040894027799367905
qcontrol_4adc18eeedd3ef7a,qseq_2b0e460c32b3f17b,length_32_gap_8,qcluster_locked_test_0021,qmask_af3070b33fa6727a,01000111,0.0074732587672770023,0.047649938613176346
qcontrol_93715968b217048a,qseq_597ab7a897f078ee,length_32_gap_8,qcluster_locked_test_0022,qmask_af3070b33fa6727a,01000111,0.0065069268457591534,0.044193476438522339
qcontrol_dda2501e624acf62,qseq_ab085848a2ffe2d7,length_32_gap_8,qcluster_locked_test_0023,qmask_af3070b33fa6727a,01000111,0.0076956124976277351,0.048563789576292038
qcontrol_0f0dccc5c19f1f5d,qseq_743feac99f8e9594,length_32_gap_8,qcluster_locked_test_0024,qmask_af3070b33fa6727a,01000111,0.0033121579326689243,0.032076135277748108
qcontrol_78ded0b40eb2b27c,qseq_82634b9ef4f722e5,length_32_gap_8,qcluster_locked_test_0025,qmask_af3070b33fa6727a,01000111,0.0035230789799243212,0.032101109623908997
qcontrol_71ea360fb8af9930,qseq_6ef95ecc92d78a0d,length_32_gap_8,qcluster_locked_test_0026,qmask_af3070b33fa6727a,01000111,0.0057240007445216179,0.041693173348903656
qcontrol_72a8669bdefe41bb,qseq_f0c0d20f4295b441,length_32_gap_8,qcluster_locked_test_0027,qmask_af3070b33fa6727a,01000111,0.0050415843725204468,0.038963198661804199
qcontrol_f5c79c084a82ed83,qseq_51ad2d071f274bd7,length_32_gap_8,qcluster_locked_test_0028,qmask_af3070b33fa6727a,01000111,0.0025856976862996817,0.028086796402931213
qcontrol_f098e7503bd78cfe,qseq_7678c941fe0cdde4,length_32_gap_8,qcluster_locked_test_0029,qmask_af3070b33fa6727a,01000111,0.0047457907348871231,0.037773139774799347
qcontrol_cb985f45087fdfca,qseq_abd4c2b648d044b2,length_32_gap_8,qcluster_locked_test_0030,qmask_af3070b33fa6727a,01000111,0.0048586884513497353,0.03888484463095665
