prompt_id,source_prompt_id,family_id,source_cluster_id,mask_id,mask_bits,kl_clean_to_intervened,total_variation
qcontrol_c5d556b6682f2e9e,qseq_53402bb64e257a4c,length_32_gap_8,qcluster_locked_test_0000,qmask_afbe22c87ad11ae4,10101100,0.022813424468040466,0.086192592978477478
qcontrol_3d6dbff59ab97005,qseq_063d071a40a8b975,length_32_gap_8,qcluster_locked_test_0001,qmask_afbe22c87ad11ae4,10101100,0.02534976415336132,0.079928964376449585
qcontrol_8e25272f30b8e1de,qseq_2b370320aa590f4a,length_32_gap_8,qcluster_locked_test_0002,qmask_afbe22c87ad11ae4,10101100,0.010105885565280914,0.056210339069366455
qcontrol_ed063b6dcfd273db,qseq_62b2d7ba14f996e1,length_32_gap_8,qcluster_locked_test_0003,qmask_afbe22c87ad11ae4,10101100,0.011251344345510006,0.057947009801864624
qcontrol_87bb7269d412a6c7,qseq_fc7b565459a3a9ce,length_32_gap_8,qcluster_locked_test_0004,qmask_afbe22c87ad11ae4,10101100,0.014486860483884811,0.064812995493412018
qcontrol_d2eaa38d58430d7b,qseq_855a3f3d1d296cbe,length_32_gap_8,qcluster_locked_test_0005,qmask_afbe22c87ad11ae4,10101100,0.021594488993287086,0.082636326551437378
qcontrol_24a73d4e4e356b54,qseq_bc6acb92c469fef7,length_32_gap_8,qcluster_locked_test_0006,qmask_afbe22c87ad11ae4,10101100,0.08553411066532135,0.16866025328636169
qcontrol_ab5c86c16f90de00,qseq_8ca468b64440782b,length_32_gap_8,qcluster_locked_test_0007,qmask_afbe22c87ad11ae4,10101100,0.1413055956363678,0.20852062106132507
qcontrol_0467ed43d31cbc26,qseq_3f0bb4eae1f06111,length_32_gap_8,qcluster_locked_test_0008,qmask_afbe22c87ad11ae4,10101100,0.019376832991838455,0.077149361371994019
qcontrol_5c4599f1f5150e80,qseq_545d27c10930d8dd,length_32_gap_8,qcluster_locked_test_0009,qmask_afbe22c87ad11ae4,10101100,0.043913692235946655,0.11599856615066528
qcontrol_fdba721e76249374,qseq_c3a8805eafca385c,length_32_gap_8,qcluster_locked_test_0010,qmask_afbe22c87ad11ae4,10101100,0.0088599789887666702,0.052599102258682251
qcontrol_cd16adfe498ec968,qseq_1428b8e6a33bc034,length_32_gap_8,qcluster_locked_test_0011,qmask_afbe22c87ad11ae4,10101100,0.018312316387891769,0.072211183607578278
