prompt_id,source_prompt_id,family_id,source_cluster_id,mask_id,mask_bits,kl_clean_to_intervened,total_variation
qcontrol_c5d556b6682f2e9e,qseq_53402bb64e257a4c,length_32_gap_8,qcluster_locked_test_0000,qmask_b52a639547d6a0e9,10000111,0.0022086042445152998,0.026647713035345078
qcontrol_3d6dbff59ab97005,qseq_063d071a40a8b975,length_32_gap_8,qcluster_locked_test_0001,qmask_b52a639547d6a0e9,10000111,0.005322873592376709,0.040490154176950455
qcontrol_8e25272f30b8e1de,qseq_2b370320aa590f4a,length_32_gap_8,qcluster_locked_test_0002,qmask_b52a639547d6a0e9,10000111,0.0041674026288092136,0.036318324506282806
qcontrol_ed063b6dcfd273db,qseq_62b2d7ba14f996e1,length_32_gap_8,qcluster_locked_test_0003,qmask_b52a639547d6a0e9,10000111,0.0063420161604881287,0.044523857533931732
qcontrol_87bb7269d412a6c7,qseq_fc7b565459a3a9ce,length_32_gap_8,qcluster_locked_test_0004,qmask_b52a639547d6a0e9,10000111,0.0066159567795693874,0.04409877210855484
qcontrol_d2eaa38d58430d7b,qseq_855a3f3d1d296cbe,length_32_gap_8,qcluster_locked_test_0005,qmask_b52a639547d6a0e9,10000111,0.0016771405935287476,0.02283690869808197
qcontrol_24a73d4e4e356b54,qseq_bc6acb92c469fef7,length_32_gap_8,qcluster_locked_test_0006,qmask_b52a639547d6a0e9,10000111,0.017901267856359482,0.075029522180557251
qcontrol_ab5c86c16f90de00,qseq_8ca468b64440782b,length_32_gap_8,qcluster_locked_test_0007,qmask_b52a639547d6a0e9,10000111,0.033849775791168213,0.10222218930721283
qcontrol_0467ed43d31cbc26,qseq_3f0bb4eae1f06111,length_32_gap_8,qcluster_locked_test_0008,qmask_b52a639547d6a0e9,10000111,0.011450338177382946,0.060038663446903229
qcontrol_5c4599f1f5150e80,qseq_545d27c10930d8dd,length_32_gap_8,qcluster_locked_test_0009,qmask_b52a639547d6a0e9,10000111,0.0053007397800683975,0.040479175746440887
qcontrol_fdba721e76249374,qseq_c3a8805eafca385c,length_32_gap_8,qcluster_locked_test_0010,qmask_b52a639547d6a0e9,10000111,0.0048643485642969608,0.038339018821716309
qcontrol_cd16adfe498ec968,qseq_1428b8e6a33bc034,length_32_gap_8,qcluster_locked_test_0011,qmask_b52a639547d6a0e9,10000111,0.0041337423026561737,0.035991154611110687
qcontrol_e729907ce7696489,qseq_dc48f394593bb573,length_32_gap_8,qcluster_locked_test_0012,qmask_b52a639547d6a0e9,10000111,0.030088096857070923,0.09801008552312851
qcontrol_668baf9e860bb680,qseq_84d55da9d8a1c3ec,length_32_gap_8,qcluster_locked_test_0013,qmask_b52a639547d6a0e9,10000111,0.0073365475982427597,0.045790862292051315
qcontrol_c97b66b834c31d9f,qseq_ad68734add0ca673,length_32_gap_8,qcluster_locked_test_0014,qmask_b52a639547d6a0e9,10000111,0.0084857847541570663,0.049660243093967438
qcontrol_ebc54483bd759f2a,qseq_5d11ec40ee5e399c,length_32_gap_8,qcluster_locked_test_0015,qmask_b52a639547d6a0e9,10000111,0.0021312530152499676,0.025984592735767365
qcontrol_2098c49dc5af26a7,qseq_933613b63b18ef39,length_32_gap_8,qcluster_locked_test_0016,qmask_b52a639547d6a0e9,10000111,0.003246568376198411,0.031017431989312172
qcontrol_cec492db00e0f846,qseq_7982e3353af95b5a,length_32_gap_8,qcluster_locked_test_0017,qmask_b52a639547d6a0e9,10000111,0.0085869943723082542,0.053711537271738052
qcontrol_92c8ca14ea81d17a,qseq_957f2217c38cbb43,length_32_gap_8,qcluster_locked_test_0018,qmask_b52a639547d6a0e9,10000111,0.0059456964954733849,0.040112927556037903
qcontrol_9ef38e7933073940,qseq_1ca6609274aa0efd,length_32_gap_8,qcluster_locked_test_0019,qmask_b52a639547d6a0e9,10000111,0.01167303416877985,0.058984726667404175
qcontrol_7bfadcf22fb593a6,qseq_636926d60e9fc6a4,length_32_gap_8,qcluster_locked_test_0020,qmask_b52a639547d6a0e9,10000111,0.010131560266017914,0.056961715221405029
qcontrol_4adc18eeedd3ef7a,qseq_2b0e460c32b3f17b,length_32_gap_8,qcluster_locked_test_0021,qmask_b52a639547d6a0e9,10000111,0.0047864601947367191,0.037719238549470901
qcontrol_93715968b217048a,qseq_597ab7a897f078ee,length_32_gap_8,qcluster_locked_test_0022,qmask_b52a639547d6a0e9,10000111,0.0063954633660614491,0.043401278555393219
