prompt_id,source_prompt_id,family_id,source_cluster_id,mask_id,mask_bits,kl_clean_to_intervened,total_variation
qcontrol_c5d556b6682f2e9e,qseq_53402bb64e257a4c,length_32_gap_8,qcluster_locked_test_0000,qmask_bde177d3edcb1ae0,00110110,0.014039864763617516,0.065716177225112915
qcontrol_3d6dbff59ab97005,qseq_063d071a40a8b975,length_32_gap_8,qcluster_locked_test_0001,qmask_bde177d3edcb1ae0,00110110,0.024070072919130325,0.080526173114776611
qcontrol_8e25272f30b8e1de,qseq_2b370320aa590f4a,length_32_gap_8,qcluster_locked_test_0002,qmask_bde177d3edcb1ae0,00110110,0.0055023515596985817,0.040627222508192062
qcontrol_ed063b6dcfd273db,qseq_62b2d7ba14f996e1,length_32_gap_8,qcluster_locked_test_0003,qmask_bde177d3edcb1ae0,00110110,0.0062409383244812489,0.042416591197252274
qcontrol_87bb7269d412a6c7,qseq_fc7b565459a3a9ce,length_32_gap_8,qcluster_locked_test_0004,qmask_bde177d3edcb1ae0,00110110,0.0083229346200823784,0.049512337893247604
qcontrol_d2eaa38d58430d7b,qseq_855a3f3d1d296cbe,length_32_gap_8,qcluster_locked_test_0005,qmask_bde177d3edcb1ae0,00110110,0.026962241157889366,0.090545147657394409
qcontrol_24a73d4e4e356b54,qseq_bc6acb92c469fef7,length_32_gap_8,qcluster_locked_test_0006,qmask_bde177d3edcb1ae0,00110110,0.069290407001972198,0.15084296464920044
qcontrol_ab5c86c16f90de00,qseq_8ca468b64440782b,length_32_gap_8,qcluster_locked_test_0007,qmask_bde177d3edcb1ae0,00110110,0.080470383167266846,0.15587186813354492
qcontrol_0467ed43d31cbc26,qseq_3f0bb4eae1f06111,length_32_gap_8,qcluster_locked_test_0008,qmask_bde177d3edcb1ae0,00110110,0.0074200010858476162,0.045559793710708618
qcontrol_5c4599f1f5150e80,qseq_545d27c10930d8dd,length_32_gap_8,qcluster_locked_test_0009,qmask_bde177d3edcb1ae0,00110110,0.037560068070888519,0.10870876908302307
qcontrol_fdba721e76249374,qseq_c3a8805eafca385c,length_32_gap_8,qcluster_locked_test_0010,qmask_bde177d3edcb1ae0,00110110,0.0032115441281348467,0.030298138037323952
qcontrol_cd16adfe498ec968,qseq_1428b8e6a33bc034,length_32_gap_8,qcluster_locked_test_0011,qmask_bde177d3edcb1ae0,00110110,0.011034777387976646,0.054909974336624146
qcontrol_e729907ce7696489,qseq_dc48f394593bb573,length_32_gap_8,qcluster_locked_test_0012,qmask_bde177d3edcb1ae0,00110110,0.16274431347846985,0.21731194853782654
qcontrol_668baf9e860bb680,qseq_84d55da9d8a1c3ec,length_32_gap_8,qcluster_locked_test_0013,qmask_bde177d3edcb1ae0,00110110,0.0045335544273257256,0.036819163709878922
qcontrol_c97b66b834c31d9f,qseq_ad68734add0ca673,length_32_gap_8,qcluster_locked_test_0014,qmask_bde177d3edcb1ae0,00110110,0.004680153913795948,0.037086844444274902
qcontrol_ebc54483bd759f2a,qseq_5d11ec40ee5e399c,length_32_gap_8,qcluster_locked_test_0015,qmask_bde177d3edcb1ae0,00110110,0.002102043479681015,0.025416167452931404
qcontrol_2098c49dc5af26a7,qseq_933613b63b18ef39,length_32_gap_8,qcluster_locked_test_0016,qmask_bde177d3edcb1ae0,00110110,0.0059415567666292191,0.041877850890159607
qcontrol_cec492db00e0f846,qseq_7982e3353af95b5a,length_32_gap_8,qcluster_locked_test_0017,qmask_bde177d3edcb1ae0,00110110,0.026034418493509293,0.091346427798271179
qcontrol_92c8ca14ea81d17a,qseq_957f2217c38cbb43,length_32_gap_8,qcluster_locked_test_0018,qmask_bde177d3edcb1ae0,00110110,0.039215072989463806,0.10320959985256195
qcontrol_9ef38e7933073940,qseq_1ca6609274aa0efd,length_32_gap_8,qcluster_locked_test_0019,qmask_bde177d3edcb1ae0,00110110,0.020480591803789139,0.066207163035869598
qcontrol_7bfadcf22fb593a6,qseq_636926d60e9fc6a4,length_32_gap_8,qcluster_locked_test_0020,qmask_bde177d3edcb1ae0,00110110,0.012706547975540161,0.059236064553260803
qcontrol_4adc18eeedd3ef7a,qseq_2b0e460c32b3f17b,length_32_gap_8,qcluster_locked_test_0021,qmask_bde177d3edcb1ae0,00110110,0.077503398060798645,0.15498155355453491
qcontrol_93715968b217048a,qseq_597ab7a897f078ee,length_32_gap_8,qcluster_locked_test_0022,qmask_bde177d3edcb1ae0,00110110,0.012125618755817413,0.05900859460234642
qcontrol_dda2501e624acf62,qseq_ab085848a2ffe2d7,length_32_gap_8,qcluster_locked_test_0023,qmask_bde177d3edcb1ae0,00110110,0.0066881570965051651,0.045929156243801117
qcontrol_0f0dccc5c19f1f5d,qseq_743feac99f8e9594,length_32_gap_8,qcluster_locked_test_0024,qmask_bde177d3edcb1ae0,00110110,0.051880110055208206,0.1233769953250885
qcontrol_78ded0b40eb2b27c,qseq_82634b9ef4f722e5,length_32_gap_8,qcluster_locked_test_0025,qmask_bde177d3edcb1ae0,00110110,0.011593833565711975,0.056200146675109863
qcontrol_71ea360fb8af9930,qseq_6ef95ecc92d78a0d,length_32_gap_8,qcluster_locked_test_0026,qmask_bde177d3edcb1ae0,00110110,0.045038692653179169,0.11365842819213867
qcontrol_72a8669bdefe41bb,qseq_f0c0d20f4295b441,length_32_gap_8,qcluster_locked_test_0027,qmask_bde177d3edcb1ae0,00110110,0.0077627985738217831,0.046596549451351166
qcontrol_f5c79c084a82ed83,qseq_51ad2d071f274bd7,length_32_gap_8,qcluster_locked_test_0028,qmask_bde177d3edcb1ae0,00110110,0.0060902740806341171,0.041804619133472443
qcontrol_f098e7503bd78cfe,qseq_7678c941fe0cdde4,length_32_gap_8,qcluster_locked_test_0029,qmask_bde177d3edcb1ae0,00110110,0.0032125166617333889,0.030152499675750732
qcontrol_cb985f45087fdfca,qseq_abd4c2b648d044b2,length_32_gap_8,qcluster_locked_test_0030,qmask_bde177d3edcb1ae0,00110110,0.013092835433781147,0.063816949725151062
qcontrol_4eedb1edc907cb3f,qseq_376748c012341f39,length_32_gap_8,qcluster_locked_test_0031,qmask_bde177d3edcb1ae0,00110110,0.017405841499567032,0.074928648769855499
qcontrol_ce7e3d2743f6522c,qseq_19d86bb0059dd869,length_32_gap_8,qcluster_locked_test_0032,qmask_bde177d3edcb1ae0,00110110,0.0089662950485944748,0.050579443573951721
qcontrol_cd891116254bb5de,qseq_c3631e47ce7a3151,length_32_gap_8,qcluster_locked_test_0033,qmask_bde177d3edcb1ae0,00110110,0.0043120295740664005,0.036970332264900208
