prompt_id,source_prompt_id,family_id,source_cluster_id,mask_id,mask_bits,kl_clean_to_intervened,total_variation
qcontrol_c5d556b6682f2e9e,qseq_53402bb64e257a4c,length_32_gap_8,qcluster_locked_test_0000,qmask_cb0a7c3a10da33f2,11001100,0.019894994795322418,0.082822583615779877
qcontrol_3d6dbff59ab97005,qseq_063d071a40a8b975,length_32_gap_8,qcluster_locked_test_0001,qmask_cb0a7c3a10da33f2,11001100,0.012966154143214226,0.064669311046600342
qcontrol_8e25272f30b8e1de,qseq_2b370320aa590f4a,length_32_gap_8,qcluster_locked_test_0002,qmask_cb0a7c3a10da33f2,11001100,0.014111392199993134,0.065623544156551361
qcontrol_ed063b6dcfd273db,qseq_62b2d7ba14f996e1,length_32_gap_8,qcluster_locked_test_0003,qmask_cb0a7c3a10da33f2,11001100,0.02044995129108429,0.078901961445808411
qcontrol_87bb7269d412a6c7,qseq_fc7b565459a3a9ce,length_32_gap_8,qcluster_locked_test_0004,qmask_cb0a7c3a10da33f2,11001100,0.019405785948038101,0.073541261255741119
qcontrol_d2eaa38d58430d7b,qseq_855a3f3d1d296cbe,length_32_gap_8,qcluster_locked_test_0005,qmask_cb0a7c3a10da33f2,11001100,0.0063381977379322052,0.045073062181472778
qcontrol_24a73d4e4e356b54,qseq_bc6acb92c469fef7,length_32_gap_8,qcluster_locked_test_0006,qmask_cb0a7c3a10da33f2,11001100,0.08216385543346405,0.16592982411384583
qcontrol_ab5c86c16f90de00,qseq_8ca468b64440782b,length_32_gap_8,qcluster_locked_test_0007,qmask_cb0a7c3a10da33f2,11001100,0.034711610525846481,0.10423910617828369
qcontrol_0467ed43d31cbc26,qseq_3f0bb4eae1f06111,length_32_gap_8,qcluster_locked_test_0008,qmask_cb0a7c3a10da33f2,11001100,0.02739533968269825,0.093714803457260132
qcontrol_5c4599f1f5150e80,qseq_545d27c10930d8dd,length_32_gap_8,qcluster_locked_test_0009,qmask_cb0a7c3a10da33f2,11001100,0.013014711439609528,0.065372221171855927
qcontrol_fdba721e76249374,qseq_c3a8805eafca385c,length_32_gap_8,qcluster_locked_test_0010,qmask_cb0a7c3a10da33f2,11001100,0.011987807229161263,0.063573829829692841
qcontrol_cd16adfe498ec968,qseq_1428b8e6a33bc034,length_32_gap_8,qcluster_locked_test_0011,qmask_cb0a7c3a10da33f2,11001100,0.01354677602648735,0.064843431115150452
qcontrol_e729907ce7696489,qseq_dc48f394593bb573,length_32_gap_8,qcluster_locked_test_0012,qmask_cb0a7c3a10da33f2,11001100,0.10472807288169861,0.17947973310947418
qcontrol_668baf9e860bb680,qseq_84d55da9d8a1c3ec,length_32_gap_8,qcluster_locked_test_0013,qmask_cb0a7c3a10da33f2,11001100,0.020012576133012772,0.075269035995006561
qcontrol_c97b66b834c31d9f,qseq_ad68734add0ca673,length_32_gap_8,qcluster_locked_test_0014,qmask_cb0a7c3a10da33f2,11001100,0.016938695684075356,0.073100842535495758
qcontrol_ebc54483bd759f2a,qseq_5d11ec40ee5e399c,length_32_gap_8,qcluster_locked_test_0015,qmask_cb0a7c3a10da33f2,11001100,0.01002349890768528,0.056055009365081787
qcontrol_2098c49dc5af26a7,qseq_933613b63b18ef39,length_32_gap_8,qcluster_locked_test_0016,qmask_cb0a7c3a10da33f2,11001100,0.0088332919403910637,0.051114644855260849
qcontrol_cec492db00e0f846,qseq_7982e3353af95b5a,length_32_gap_8,qcluster_locked_test_0017,qmask_cb0a7c3a10da33f2,11001100,0.15931035578250885,0.21080414950847626
qcontrol_92c8ca14ea81d17a,qseq_957f2217c38cbb43,length_32_gap_8,qcluster_locked_test_0018,qmask_cb0a7c3a10da33f2,11001100,0.013545600697398186,0.060108814388513565
qcontrol_9ef38e7933073940,qseq_1ca6609274aa0efd,length_32_gap_8,qcluster_locked_test_0019,qmask_cb0a7c3a10da33f2,11001100,0.019247960299253464,0.073795013129711151
qcontrol_7bfadcf22fb593a6,qseq_636926d60e9fc6a4,length_32_gap_8,qcluster_locked_test_0020,qmask_cb0a7c3a10da33f2,11001100,0.016096737235784531,0.069575175642967224
qcontrol_4adc18eeedd3ef7a,qseq_2b0e460c32b3f17b,length_32_gap_8,qcluster_locked_test_0021,qmask_cb0a7c3a10da33f2,11001100,0.015363686718046665,0.068419061601161957
qcontrol_93715968b217048a,qseq_597ab7a897f078ee,length_32_gap_8,qcluster_locked_test_0022,qmask_cb0a7c3a10da33f2,11001100,0.017750080674886703,0.072595939040184021
qcontrol_dda2501e624acf62,qseq_ab085848a2ffe2d7,length_32_gap_8,qcluster_locked_test_0023,qmask_cb0a7c3a10da33f2,11001100,0.02258140966296196,0.087191671133041382
qcontrol_0f0dccc5c19f1f5d,qseq_743feac99f8e9594,length_32_gap_8,qcluster_locked_test_0024,qmask_cb0a7c3a10da33f2,11001100,0.0065382332541048527,0.045340046286582947
qcontrol_78ded0b40eb2b27c,qseq_82634b9ef4f722e5,length_32_gap_8,qcluster_locked_test_0025,qmask_cb0a7c3a10da33f2,11001100,0.011167637072503567,0.058805879205465317
qcontrol_71ea360fb8af9930,qseq_6ef95ecc92d78a0d,length_32_gap_8,qcluster_locked_test_0026,qmask_cb0a7c3a10da33f2,11001100,0.014519689604640007,0.067662820219993591
qcontrol_72a8669bdefe41bb,qseq_f0c0d20f4295b441,length_32_gap_8,qcluster_locked_test_0027,qmask_cb0a7c3a10da33f2,11001100,0.0089048519730567932,0.053518019616603851
qcontrol_f5c79c084a82ed83,qseq_51ad2d071f274bd7,length_32_gap_8,qcluster_locked_test_0028,qmask_cb0a7c3a10da33f2,11001100,0.0088630858808755875,0.052864030003547668
qcontrol_f098e7503bd78cfe,qseq_7678c941fe0cdde4,length_32_gap_8,qcluster_locked_test_0029,qmask_cb0a7c3a10da33f2,11001100,0.008806224912405014,0.048656661063432693
qcontrol_cb985f45087fdfca,qseq_abd4c2b648d044b2,length_32_gap_8,qcluster_locked_test_0030,qmask_cb0a7c3a10da33f2,11001100,0.0086374636739492416,0.051817420870065689
qcontrol_4eedb1edc907cb3f,qseq_376748c012341f39,length_32_gap_8,qcluster_locked_test_0031,qmask_cb0a7c3a10da33f2,11001100,0.056440450251102448,0.14019444584846497
qcontrol_ce7e3d2743f6522c,qseq_19d86bb0059dd869,length_32_gap_8,qcluster_locked_test_0032,qmask_cb0a7c3a10da33f2,11001100,0.013590557500720024,0.064642056822776794
qcontrol_cd891116254bb5de,qseq_c3631e47ce7a3151,length_32_gap_8,qcluster_locked_test_0033,qmask_cb0a7c3a10da33f2,11001100,0.012447809800505638,0.059864480048418045
qcontrol_b78a15eac9e1d73b,qseq_d7c516de3d15276d,length_32_gap_8,qcluster_locked_test_0034,qmask_cb0a7c3a10da33f2,11001100,0.024779992178082466,0.087753795087337494
qcontrol_47a96e6006fe81d4,qseq_a0ace0ffe2091903,length_32_gap_8,qcluster_locked_test_0035,qmask_cb0a7c3a10da33f2,11001100,0.033083364367485046,0.098398268222808838
qcontrol_4b25178f8bfcd58f,qseq_ba465edb70f8e1ca,length_32_gap_8,qcluster_locked_test_0036,qmask_cb0a7c3a10da33f2,11001100,0.016211628913879395,0.067532308399677277
