prompt_id,source_prompt_id,family_id,source_cluster_id,mask_id,mask_bits,kl_clean_to_intervened,total_variation
qcontrol_c5d556b6682f2e9e,qseq_53402bb64e257a4c,length_32_gap_8,qcluster_locked_test_0000,qmask_f61f977e6689b2ed,10001111,0.013302361592650414,0.066839396953582764
qcontrol_3d6dbff59ab97005,qseq_063d071a40a8b975,length_32_gap_8,qcluster_locked_test_0001,qmask_f61f977e6689b2ed,10001111,0.0062108729034662247,0.043691612780094147
qcontrol_8e25272f30b8e1de,qseq_2b370320aa590f4a,length_32_gap_8,qcluster_locked_test_0002,qmask_f61f977e6689b2ed,10001111,0.0078181326389312744,0.049292698502540588
qcontrol_ed063b6dcfd273db,qseq_62b2d7ba14f996e1,length_32_gap_8,qcluster_locked_test_0003,qmask_f61f977e6689b2ed,10001111,0.0093061299994587898,0.053972825407981873
qcontrol_87bb7269d412a6c7,qseq_fc7b565459a3a9ce,length_32_gap_8,qcluster_locked_test_0004,qmask_f61f977e6689b2ed,10001111,0.012037667445838451,0.059548351913690567
qcontrol_d2eaa38d58430d7b,qseq_855a3f3d1d296cbe,length_32_gap_8,qcluster_locked_test_0005,qmask_f61f977e6689b2ed,10001111,0.0032162079587578773,0.031008927151560783
qcontrol_24a73d4e4e356b54,qseq_bc6acb92c469fef7,length_32_gap_8,qcluster_locked_test_0006,qmask_f61f977e6689b2ed,10001111,0.042852539569139481,0.12015783786773682
qcontrol_ab5c86c16f90de00,qseq_8ca468b64440782b,length_32_gap_8,qcluster_locked_test_0007,qmask_f61f977e6689b2ed,10001111,0.033554829657077789,0.10256959497928619
qcontrol_0467ed43d31cbc26,qseq_3f0bb4eae1f06111,length_32_gap_8,qcluster_locked_test_0008,qmask_f61f977e6689b2ed,10001111,0.015848660841584206,0.072083204984664917
qcontrol_5c4599f1f5150e80,qseq_545d27c10930d8dd,length_32_gap_8,qcluster_locked_test_0009,qmask_f61f977e6689b2ed,10001111,0.0090752597898244858,0.053347375243902206
qcontrol_fdba721e76249374,qseq_c3a8805eafca385c,length_32_gap_8,qcluster_locked_test_0010,qmask_f61f977e6689b2ed,10001111,0.0073773614130914211,0.048220757395029068
qcontrol_cd16adfe498ec968,qseq_1428b8e6a33bc034,length_32_gap_8,qcluster_locked_test_0011,qmask_f61f977e6689b2ed,10001111,0.0078676929697394371,0.051349684596061707
qcontrol_e729907ce7696489,qseq_dc48f394593bb573,length_32_gap_8,qcluster_locked_test_0012,qmask_f61f977e6689b2ed,10001111,0.0605938620865345,0.13887159526348114
qcontrol_668baf9e860bb680,qseq_84d55da9d8a1c3ec,length_32_gap_8,qcluster_locked_test_0013,qmask_f61f977e6689b2ed,10001111,0.0095711555331945419,0.052330173552036285
qcontrol_c97b66b834c31d9f,qseq_ad68734add0ca673,length_32_gap_8,qcluster_locked_test_0014,qmask_f61f977e6689b2ed,10001111,0.0077166678383946419,0.049879137426614761
qcontrol_ebc54483bd759f2a,qseq_5d11ec40ee5e399c,length_32_gap_8,qcluster_locked_test_0015,qmask_f61f977e6689b2ed,10001111,0.0036558154970407486,0.034125342965126038
qcontrol_2098c49dc5af26a7,qseq_933613b63b18ef39,length_32_gap_8,qcluster_locked_test_0016,qmask_f61f977e6689b2ed,10001111,0.0053543150424957275,0.039948448538780212
qcontrol_cec492db00e0f846,qseq_7982e3353af95b5a,length_32_gap_8,qcluster_locked_test_0017,qmask_f61f977e6689b2ed,10001111,0.1642507016658783,0.20883211493492126
qcontrol_92c8ca14ea81d17a,qseq_957f2217c38cbb43,length_32_gap_8,qcluster_locked_test_0018,qmask_f61f977e6689b2ed,10001111,0.0091277780011296272,0.051370039582252502
qcontrol_9ef38e7933073940,qseq_1ca6609274aa0efd,length_32_gap_8,qcluster_locked_test_0019,qmask_f61f977e6689b2ed,10001111,0.0096390107646584511,0.052395358681678772
qcontrol_7bfadcf22fb593a6,qseq_636926d60e9fc6a4,length_32_gap_8,qcluster_locked_test_0020,qmask_f61f977e6689b2ed,10001111,0.0083832480013370514,0.051037006080150604
qcontrol_4adc18eeedd3ef7a,qseq_2b0e460c32b3f17b,length_32_gap_8,qcluster_locked_test_0021,qmask_f61f977e6689b2ed,10001111,0.0081599857658147812,0.05075468122959137
qcontrol_93715968b217048a,qseq_597ab7a897f078ee,length_32_gap_8,qcluster_locked_test_0022,qmask_f61f977e6689b2ed,10001111,0.0089186793193221092,0.051957979798316956
qcontrol_dda2501e624acf62,qseq_ab085848a2ffe2d7,length_32_gap_8,qcluster_locked_test_0023,qmask_f61f977e6689b2ed,10001111,0.014739072881639004,0.070643976330757141
qcontrol_0f0dccc5c19f1f5d,qseq_743feac99f8e9594,length_32_gap_8,qcluster_locked_test_0024,qmask_f61f977e6689b2ed,10001111,0.003439649473875761,0.032469656318426132
qcontrol_78ded0b40eb2b27c,qseq_82634b9ef4f722e5,length_32_gap_8,qcluster_locked_test_0025,qmask_f61f977e6689b2ed,10001111,0.0053561590611934662,0.040175452828407288
qcontrol_71ea360fb8af9930,qseq_6ef95ecc92d78a0d,length_32_gap_8,qcluster_locked_test_0026,qmask_f61f977e6689b2ed,10001111,0.0074486820958554745,0.048881605267524719
qcontrol_72a8669bdefe41bb,qseq_f0c0d20f4295b441,length_32_gap_8,qcluster_locked_test_0027,qmask_f61f977e6689b2ed,10001111,0.006426018662750721,0.045765053480863571
qcontrol_f5c79c084a82ed83,qseq_51ad2d071f274bd7,length_32_gap_8,qcluster_locked_test_0028,qmask_f61f977e6689b2ed,10001111,0.0075745806097984314,0.04816894605755806
qcontrol_f098e7503bd78cfe,qseq_7678c941fe0cdde4,length_32_gap_8,qcluster_locked_test_0029,qmask_f61f977e6689b2ed,10001111,0.0039532091468572617,0.03397718071937561
qcontrol_cb985f45087fdfca,qseq_abd4c2b648d044b2,length_32_gap_8,qcluster_locked_test_0030,qmask_f61f977e6689b2ed,10001111,0.0066098119132220745,0.045266687870025635
qcontrol_4eedb1edc907cb3f,qseq_376748c012341f39,length_32_gap_8,qcluster_locked_test_0031,qmask_f61f977e6689b2ed,10001111,0.033994488418102264,0.11025714129209518
qcontrol_ce7e3d2743f6522c,qseq_19d86bb0059dd869,length_32_gap_8,qcluster_locked_test_0032,qmask_f61f977e6689b2ed,10001111,0.0049032587558031082,0.039107579737901688
qcontrol_cd891116254bb5de,qseq_c3631e47ce7a3151,length_32_gap_8,qcluster_locked_test_0033,qmask_f61f977e6689b2ed,10001111,0.0065493956208229065,0.042593911290168762
qcontrol_b78a15eac9e1d73b,qseq_d7c516de3d15276d,length_32_gap_8,qcluster_locked_test_0034,qmask_f61f977e6689b2ed,10001111,0.0090232342481613159,0.054177694022655487
qcontrol_47a96e6006fe81d4,qseq_a0ace0ffe2091903,length_32_gap_8,qcluster_locked_test_0035,qmask_f61f977e6689b2ed,10001111,0.012817287817597389,0.061464227735996246
qcontrol_4b25178f8bfcd58f,qseq_ba465edb70f8e1ca,length_32_gap_8,qcluster_locked_test_0036,qmask_f61f977e6689b2ed,10001111,0.022172844037413597,0.082742981612682343
qcontrol_d15821c919988bba,qseq_76850ece32132587,length_32_gap_8,qcluster_locked_test_0037,qmask_f61f977e6689b2ed,10001111,0.0026837540790438652,0.026222128421068192
qcontrol_1ed152e282946d26,qseq_f7a4abff778dac0d,length_32_gap_8,qcluster_locked_test_0038,qmask_f61f977e6689b2ed,10001111,0.015650710090994835,0.06950850784778595
qcontrol_639187d5eabfec69,qseq_e853f0c08b8332c6,length_32_gap_8,qcluster_locked_test_0039,qmask_f61f977e6689b2ed,10001111,0.024809282273054123,0.089536853134632111
qcontrol_645b510cfbaa4148,qseq_076c730602874c8e,length_32_gap_8,qcluster_locked_test_0040,qmask_f61f977e6689b2ed,10001111,0.0079807285219430923,0.049429822713136673
qcontrol_0610fb9acf8072f8,qseq_419e4d2a6546e726,length_32_gap_8,qcluster_locked_test_0041,qmask_f61f977e6689b2ed,10001111,0.020823359489440918,0.079653732478618622
qcontrol_3e1b775d651cbe18,qseq_0dee966050bfd253,length_32_gap_8,qcluster_locked_test_0042,qmask_f61f977e6689b2ed,10001111,0.021553080528974533,0.081789970397949219
qcontrol_6640639f17c20a2b,qseq_33d6299f018a63df,length_32_gap_8,qcluster_locked_test_0043,qmask_f61f977e6689b2ed,10001111,0.0049723521806299686,0.039611011743545532
qcontrol_92ea2bf42a9ea623,qseq_1d6ac5c0e2ef6aec,length_32_gap_8,qcluster_locked_test_0044,qmask_f61f977e6689b2ed,10001111,0.047279119491577148,0.13000595569610596
qcontrol_a82ad6489f53d75c,qseq_1a159a1dae28da54,length_32_gap_8,qcluster_locked_test_0045,qmask_f61f977e6689b2ed,10001111,0.011155720800161362,0.060303956270217896
qcontrol_c35a305ca8c70ee5,qseq_d93f64d04e6cfa98,length_32_gap_8,qcluster_locked_test_0046,qmask_f61f977e6689b2ed,10001111,0.012162979692220688,0.061732172966003418
qcontrol_ea32ec7a986b12ef,qseq_dc46b739b3b479f2,length_32_gap_8,qcluster_locked_test_0047,qmask_f61f977e6689b2ed,10001111,0.023298785090446472,0.079710580408573151
qcontrol_d7c2e41273b93372,qseq_53c883855c13ae86,length_32_gap_8,qcluster_locked_test_0048,qmask_f61f977e6689b2ed,10001111,0.010075675323605537,0.056592509150505066
qcontrol_90b2d8a79b134e9b,qseq_e298a08ae621717b,length_32_gap_8,qcluster_locked_test_0049,qmask_f61f977e6689b2ed,10001111,0.005187679547816515,0.040773604065179825
qcontrol_d3a40d21f04937c0,qseq_ea09c5e6da440673,length_32_gap_8,qcluster_locked_test_0050,qmask_f61f977e6689b2ed,10001111,0.0077506350353360176,0.049060426652431488
qcontrol_326b6598268f9751,qseq_a2aac0b7a5eb8c02,length_32_gap_8,qcluster_locked_test_0051,qmask_f61f977e6689b2ed,10001111,0.0039081964641809464,0.031360641121864319
qcontrol_81760386fa700394,qseq_53d58b039bf71abb,length_32_gap_8,qcluster_locked_test_0052,qmask_f61f977e6689b2ed,10001111,0.01267600990831852,0.064366966485977173
qcontrol_28d679f8a2236bbd,qseq_57fea2d3713a1c13,length_32_gap_8,qcluster_locked_test_0053,qmask_f61f977e6689b2ed,10001111,0.0052899066358804703,0.040598444640636444
qcontrol_6ef40afd7318b950,qseq_6bb14f29e14dbe31,length_32_gap_8,qcluster_locked_test_0054,qmask_f61f977e6689b2ed,10001111,0.006247352808713913,0.043265067040920258
qcontrol_6040e519bcd27e62,qseq_c7a13f21952ded5a,length_32_gap_8,qcluster_locked_test_0055,qmask_f61f977e6689b2ed,10001111,0.0056895953603088856,0.04234139621257782
qcontrol_64c5eb25cd7a84e9,qseq_71f308c25e9caab7,length_32_gap_8,qcluster_locked_test_0056,qmask_f61f977e6689b2ed,10001111,0.0081116016954183578,0.049375854432582855
qcontrol_38856061e8482247,qseq_26a93fd64c7f9015,length_32_gap_8,qcluster_locked_test_0057,qmask_f61f977e6689b2ed,10001111,0.0080551281571388245,0.05041324719786644
qcontrol_c9091d2ed80a111b,qseq_33f34f1b438ee96a,length_32_gap_8,qcluster_locked_test_0058,qmask_f61f977e6689b2ed,10001111,0.010406036861240864,0.056704625487327576
qcontrol_683c62a695aeff10,qseq_24ccd50234842011,length_32_gap_8,qcluster_locked_test_0059,qmask_f61f977e6689b2ed,10001111,0.0080959824845194817,0.050420340150594711
qcontrol_54fd3e7c2d896601,qseq_63f2c7e7b133ee97,length_32_gap_8,qcluster_locked_test_0060,qmask_f61f977e6689b2ed,10001111,0.032287120819091797,0.10400642454624176
qcontrol_4a1d0e738375b9f4,qseq_711e35e6d00c9b8a,length_32_gap_8,qcluster_locked_test_0061,qmask_f61f977e6689b2ed,10001111,0.0024842694401741028,0.027024578303098679
qcontrol_97fa59d6e3239d3c,qseq_d224e19075385ed8,length_32_gap_8,qcluster_locked_test_0062,qmask_f61f977e6689b2ed,10001111,0.0062309689819812775,0.042595230042934418
qcontrol_eff80ed4079fb6cb,qseq_4c7dc78ad63b55dc,length_32_gap_8,qcluster_locked_test_0063,qmask_f61f977e6689b2ed,10001111,0.022130530327558517,0.083683766424655914
qcontrol_a82894500025faab,qseq_37fbc1efcc49dff0,length_32_gap_8,qcluster_locked_test_0064,qmask_f61f977e6689b2ed,10001111,0.0095234066247940063,0.053859248757362366
qcontrol_c055b809b87b5d92,qseq_f0ed42bd23a3cace,length_32_gap_8,qcluster_locked_test_0065,qmask_f61f977e6689b2ed,10001111,0.0061389617621898651,0.043647244572639465
qcontrol_ed173cb33a3175fa,qseq_515697cc75f06e70,length_32_gap_8,qcluster_locked_test_0066,qmask_f61f977e6689b2ed,10001111,0.0063040703535079956,0.044585388153791428
qcontrol_4517e48083cc4517,qseq_96d314c9d3591e09,length_32_gap_8,qcluster_locked_test_0067,qmask_f61f977e6689b2ed,10001111,0.0044829747639596462,0.037931498140096664
