prompt_id,source_prompt_id,family_id,source_cluster_id,query_position,swapped_position,source_input_ids,input_ids,schema_version
qcontrol_c5d556b6682f2e9e,qseq_53402bb64e257a4c,length_32_gap_8,qcluster_locked_test_0000,31,22,16953 137650 74360 134293 88337 102038 84227 132512 57711 92931 78862 2015 27333 42953 76542 116231 46132 58458 101440 75320 130154 128917 78074 78090 58960 74828 132857 70424 37634 113592 133231 78090,16953 137650 74360 134293 88337 102038 84227 132512 57711 92931 78862 2015 27333 42953 76542 116231 46132 58458 101440 75320 130154 128917 78090 78090 58960 74828 132857 70424 37634 113592 133231 78074,observerbench.qwen_induction.matched_non_induction.v1
qcontrol_3d6dbff59ab97005,qseq_063d071a40a8b975,length_32_gap_8,qcluster_locked_test_0001,31,14,122092 7437 10761 64837 130180 5847 41316 79711 26329 45646 86204 98581 82389 148177 33426 100744 50086 44875 68763 81595 93892 26688 90044 93542 111671 28726 139896 129686 19171 22150 75005 93542,122092 7437 10761 64837 130180 5847 41316 79711 26329 45646 86204 98581 82389 148177 93542 100744 50086 44875 68763 81595 93892 26688 90044 93542 111671 28726 139896 129686 19171 22150 75005 33426,observerbench.qwen_induction.matched_non_induction.v1
qcontrol_8e25272f30b8e1de,qseq_2b370320aa590f4a,length_32_gap_8,qcluster_locked_test_0002,31,4,61147 25001 121069 4916 2200 33481 145412 125099 1107 80001 93533 114761 33046 69633 65371 45102 130122 64689 128776 28361 131881 56830 45650 124572 3408 132545 110436 97142 4737 26756 68805 124572,61147 25001 121069 4916 124572 33481 145412 125099 1107 80001 93533 114761 33046 69633 65371 45102 130122 64689 128776 28361 131881 56830 45650 124572 3408 132545 110436 97142 4737 26756 68805 2200,observerbench.qwen_induction.matched_non_induction.v1
qcontrol_ed063b6dcfd273db,qseq_62b2d7ba14f996e1,length_32_gap_8,qcluster_locked_test_0003,31,12,115374 106346 121513 57800 51590 64485 84658 59952 147103 79245 85362 16433 15158 148107 73217 133349 12748 4057 32550 13728 18898 76550 148180 99072 46879 53279 125490 12516 101624 146570 35686 99072,115374 106346 121513 57800 51590 64485 84658 59952 147103 79245 85362 16433 99072 148107 73217 133349 12748 4057 32550 13728 18898 76550 148180 99072 46879 53279 125490 12516 101624 146570 35686 15158,observerbench.qwen_induction.matched_non_induction.v1
qcontrol_87bb7269d412a6c7,qseq_fc7b565459a3a9ce,length_32_gap_8,qcluster_locked_test_0004,31,6,41812 30425 119598 73878 123849 46320 29832 83912 51834 45650 129346 121529 30544 40151 31587 10272 116789 72415 35774 42087 53411 114086 30100 128776 84662 101924 36495 66120 49594 113509 100659 128776,41812 30425 119598 73878 123849 46320 128776 83912 51834 45650 129346 121529 30544 40151 31587 10272 116789 72415 35774 42087 53411 114086 30100 128776 84662 101924 36495 66120 49594 113509 100659 29832,observerbench.qwen_induction.matched_non_induction.v1
qcontrol_d2eaa38d58430d7b,qseq_855a3f3d1d296cbe,length_32_gap_8,qcluster_locked_test_0005,31,0,14385 4172 88154 42263 122543 95750 74397 122467 15893 12814 88126 113869 52800 12329 32619 90600 150235 135584 73985 123855 95430 108850 20200 91975 45389 1064 98031 56875 41374 147629 53262 91975,91975 4172 88154 42263 122543 95750 74397 122467 15893 12814 88126 113869 52800 12329 32619 90600 150235 135584 73985 123855 95430 108850 20200 91975 45389 1064 98031 56875 41374 147629 53262 14385,observerbench.qwen_induction.matched_non_induction.v1
qcontrol_24a73d4e4e356b54,qseq_bc6acb92c469fef7,length_32_gap_8,qcluster_locked_test_0006,31,5,22567 14123 141669 146879 42305 132193 147629 138250 49772 107590 111484 138494 88338 76550 62653 70890 15363 14897 90514 25994 118665 113760 129835 138550 22447 51572 40977 98721 51975 36062 132953 138550,22567 14123 141669 146879 42305 138550 147629 138250 49772 107590 111484 138494 88338 76550 62653 70890 15363 14897 90514 25994 118665 113760 129835 138550 22447 51572 40977 98721 51975 36062 132953 132193,observerbench.qwen_induction.matched_non_induction.v1
qcontrol_ab5c86c16f90de00,qseq_8ca468b64440782b,length_32_gap_8,qcluster_locked_test_0007,31,17,67912 101485 99628 112111 132058 126310 89839 15588 52486 146266 24565 135584 17142 107705 89736 150740 14504 33133 147288 94196 148164 37256 105620 112067 105655 82354 135811 43200 81955 137773 132438 112067,67912 101485 99628 112111 132058 126310 89839 15588 52486 146266 24565 135584 17142 107705 89736 150740 14504 112067 147288 94196 148164 37256 105620 112067 105655 82354 135811 43200 81955 137773 132438 33133,observerbench.qwen_induction.matched_non_induction.v1
qcontrol_0467ed43d31cbc26,qseq_3f0bb4eae1f06111,length_32_gap_8,qcluster_locked_test_0008,31,9,38340 54745 77207 96358 94499 46212 10344 2325 40485 54144 147345 106238 34104 79077 9816 10744 34541 85040 39927 145405 2685 47575 5159 34352 32718 100294 124536 29359 117485 17254 111550 34352,38340 54745 77207 96358 94499 46212 10344 2325 40485 34352 147345 106238 34104 79077 9816 10744 34541 85040 39927 145405 2685 47575 5159 34352 32718 100294 124536 29359 117485 17254 111550 54144,observerbench.qwen_induction.matched_non_induction.v1
qcontrol_5c4599f1f5150e80,qseq_545d27c10930d8dd,length_32_gap_8,qcluster_locked_test_0009,31,1,55770 142986 26595 125717 74121 33133 101424 72906 145624 76442 64371 135211 83997 146561 110282 127743 4085 94678 26676 21120 122253 98393 59952 94274 57651 84496 129686 70358 32700 53426 78514 94274,55770 94274 26595 125717 74121 33133 101424 72906 145624 76442 64371 135211 83997 146561 110282 127743 4085 94678 26676 21120 122253 98393 59952 94274 57651 84496 129686 70358 32700 53426 78514 142986,observerbench.qwen_induction.matched_non_induction.v1
