attention_rank,layer,head,kv_group,attention_to_target,attention_to_distractors,attention_specificity,direct_logit_attribution,output_norm,n_prompts
1,14,6,0,0.9401702880859375,0.0018621492199599743,0.93830811977386475,0.0021659135818481445,8.2961769104003906,128
2,14,0,0,0.79436492919921875,0.0023933795746415854,0.79197156429290771,0.0070872753858566284,7.4841256141662598,128
3,22,3,0,0.73749160766601562,0.0045816795900464058,0.7329099178314209,0.42792987823486328,16.537843704223633,128
4,5,19,2,0.69121885299682617,0.0046643149107694626,0.68655455112457275,0.0047280937433242798,4.9530534744262695,128
5,22,4,0,0.61045551300048828,0.0031779312994331121,0.60727757215499878,0.57305371761322021,15.5025634765625,128
6,17,8,1,0.6027374267578125,0.0046443790197372437,0.59809303283691406,0.0057995319366455078,6.4223942756652832,128
7,14,2,0,0.53845787048339844,0.0061436425894498825,0.5323142409324646,-0.002875983715057373,4.9521632194519043,128
8,16,13,1,0.35444402694702148,0.011270914226770401,0.34317311644554138,0.013005435466766357,5.6661138534545898,128
9,5,18,2,0.3116607666015625,0.0087383389472961426,0.30292242765426636,-0.0029058605432510376,2.9289188385009766,128
10,16,7,1,0.30286598205566406,0.0048907725140452385,0.29797521233558655,0.015093967318534851,5.6943264007568359,128
11,14,1,0,0.30596733093261719,0.0084996521472930908,0.2974676787853241,0.00033795833587646484,4.7597775459289551,128
12,2,26,3,0.268951416015625,0.015661478042602539,0.25328993797302246,-0.0091823264956474304,1.8437494039535522,128
13,25,25,3,0.25755071640014648,0.004664156585931778,0.252886563539505,-0.27260637283325195,10.226903915405273,128
14,22,1,0,0.25489997863769531,0.0028580061625689268,0.25204196572303772,0.21243405342102051,6.5871453285217285,128
15,26,15,2,0.26880449056625366,0.017733689397573471,0.25107079744338989,0.80817294120788574,38.4725341796875,128
16,7,6,0,0.24443626403808594,0.017657600343227386,0.22677865624427795,0.00064922869205474854,4.0124711990356445,128
17,17,13,1,0.2407073974609375,0.017163217067718506,0.22354418039321899,-0.014579117298126221,5.5053329467773438,128
18,16,27,3,0.2313380241394043,0.011354072019457817,0.21998395025730133,-0.0063328146934509277,4.4370384216308594,128
19,16,0,0,0.19661498069763184,0.0061703845858573914,0.19044458866119385,0.0092044621706008911,3.6608819961547852,128
20,5,15,2,0.19334268569946289,0.0051141604781150818,0.18822851777076721,-0.00097718089818954468,2.0442535877227783,128
21,22,5,0,0.19073086977005005,0.0053236340172588825,0.18540723621845245,0.015364281833171844,7.8920588493347168,128
22,23,11,1,0.16429376602172852,0.0031873988918960094,0.16110636293888092,0.13667666912078857,5.3857707977294922,128
23,23,13,1,0.16880202293395996,0.0080806203186511993,0.16072140634059906,0.2099606990814209,8.7983226776123047,128
24,20,8,1,0.18106412887573242,0.020545072853565216,0.1605190634727478,-0.0030289292335510254,8.1674079895019531,128
25,17,18,2,0.15875697135925293,0.0076956525444984436,0.15106132626533508,0.0071083009243011475,3.8051860332489014,128
26,17,7,1,0.15565919876098633,0.010937295854091644,0.14472189545631409,0.0084902271628379822,5.668635368347168,128
27,17,10,1,0.15585231781005859,0.015963643789291382,0.13988867402076721,-0.0034967660903930664,7.4528298377990723,128
28,26,16,2,0.14175045490264893,0.010679423809051514,0.13107103109359741,0.41101908683776855,22.973110198974609,128
29,16,14,2,0.14004182815551758,0.0091023072600364685,0.13093951344490051,0.0080427378416061401,2.3266088962554932,128
30,21,5,0,0.13429474830627441,0.013301491737365723,0.12099325656890869,0.041648685932159424,4.7859630584716797,128
31,19,14,2,0.13376665115356445,0.013399630784988403,0.12036702036857605,-0.00077709555625915527,4.1710782051086426,128
32,17,15,2,0.13435268402099609,0.015024609863758087,0.11932807415723801,-0.004513859748840332,4.5158329010009766,128
