layer,head,mean_effect,effect_ci_lower,effect_ci_upper,n_prompts
2,26,0.0099510112777352298,0.00074746945174411061,0.019030140992254006,256
5,15,0.028296396601945144,0.018403407686855638,0.038379370607435681,256
5,18,0.017930364236235612,0.0078979803365655243,0.027763224532827719,256
5,19,0.045225781854242086,0.020531179045792661,0.071420226467307654,256
7,6,-0.0020867059938609617,-0.011853790201712395,0.0078560525784268868,256
14,0,0.22202834254130721,0.18347821558127181,0.26354260144289582,256
14,1,0.01944339228793978,0.0077037781011313174,0.030875730141997296,256
14,2,0.029405609704554071,0.013956669252365824,0.045376407960429764,256
14,6,0.22979146824218333,0.17255379417911174,0.28896178246941417,256
16,0,0.0573389367200434,0.045605108188465221,0.069440792233217474,256
16,7,0.036847307346761213,0.017154605058021841,0.056797193491365729,256
16,13,0.14347364101558924,0.11788345858221874,0.16926475455984472,256
16,14,0.0069008911959826912,-0.0015798756154254041,0.015361635142471625,256
16,27,-0.011162939015775914,-0.022146147035527967,-0.00031387186609209606,256
17,7,0.039899032097309821,0.021297909284476186,0.058918630366679249,256
17,8,-0.011661639437079419,-0.042258074483834188,0.021093366318382292,256
17,10,-0.0061056399717926936,-0.033319918438792215,0.01961380551801991,256
17,13,-0.0038433945737779158,-0.020045565231703224,0.011942288943100718,256
17,15,-0.005818586796522144,-0.019827460590749978,0.0073864956153556526,256
17,18,0.075670226011425243,0.058285659563261989,0.091998550412245056,256
19,14,0.029998475685715658,0.021252997324336307,0.038972004828974574,256
20,8,0.028151518665254102,0.015006305323913682,0.04088259157724676,256
21,5,-0.0045779580250382415,-0.011228348128497595,0.0022027725353836913,256
22,1,0.17067895550280809,0.15213012187741698,0.19054922934155907,256
22,3,0.7659827854949981,0.71158840397838508,0.82263271187548526,256
22,4,0.70894335815683007,0.65121110874461008,0.77349373719189318,256
22,5,0.037749893963336938,0.013118739577475932,0.063234839832875867,256
23,11,0.03975098859518765,0.027413206640630957,0.05335400576004757,256
23,13,0.071866699960082742,0.057062058977317053,0.08821507391985503,256
25,25,-0.28914314834401011,-0.32522743555018679,-0.25553791504353285,256
26,15,0.30653347447514534,0.24085448735859247,0.37211566248442968,256
26,16,0.039425760041922345,0.012329657026566587,0.067539291793946132,256
