prompt_id,bank,family_id,selection_rank_within_cell,selection_sha256
qseq_40431e39f9572619,reference,length_32_gap_8,1,05b76e4aa6fb17b3f538e4690b9ec14fb211350be908fbeb22742e2ac632ba7b
qseq_20b15eadf35b34cd,reference,length_32_gap_8,2,060d0db8c3a9aa616c71cba7ed7817841fb60099c9d78d0d838da87771cfbdfa
qseq_46e5aff43cde7749,reference,length_32_gap_8,3,0758f77af5b3d786b2ad0c8c73d28375cf6b02e2e2e4d1be13230aabac4a1fcc
qseq_6e4b24b69b3960d3,reference,length_32_gap_8,4,177147e7d98545e11685db2d68bb1d6e0171445d704ac2c75e66c87422436f14
qseq_f5d18beeab20a104,reference,length_32_gap_8,5,1c3f02c5ba05175579c78f77101fee5f0517d8d83453042e5ac1134e9ae798e9
qseq_2231aaedfefc4ff4,reference,length_32_gap_8,6,1de5f74efca922764c3e328bb9b73e4b412a9bead25e99e67c7254becf4ab36a
qseq_56e1417b2bf9417d,reference,length_32_gap_8,7,1e8f9e91981c684f6d8bd7dcbd438aac8f22ae39a470ecfea3e09a3ae69c4281
qseq_b41da2973023f663,reference,length_32_gap_8,8,2042f00bc4afc9e8571ca038e943cc6577c3e541c6dcaf5da4a17a4c48932d77
qseq_be1d8a8e0b05fa11,reference,length_32_gap_8,9,23713a7448351477b75074f0233b97bd4ba04709e4a0aca7f4d1f0c11b990ff6
qseq_3f972fc85df0164d,reference,length_32_gap_8,10,241e4388f56d3bafe739fab81bfe5fcfa000e2aed78ef251116aa3d1dbf9c111
qseq_5ec84933bbe16ffc,reference,length_32_gap_8,11,2613dd6b1cebb6b8ff34d487ab33f057326220e5af83b49f9dad8359abe1933f
qseq_4bcf7cb0761e6055,reference,length_32_gap_8,12,264d51cd59a0b5252d5eb124eb3360dd856369365bdbc7454744f2d5d5bba901
qseq_a34242e9ff3dbb41,reference,length_32_gap_8,13,26c7f5355cac0a4577bfebcfd7de39a7ddb26ffdae56ab13022b69adf023b6d9
qseq_f23d1eb3c5208235,reference,length_32_gap_8,14,2e0268b091ddc5ec1c384a64cd5be15567a3eb52a89a66db377565f347919aed
qseq_de173783c384179e,reference,length_32_gap_8,15,39bbe153c497109c26743a15a6fd9bf1470c4759c0c14f1ee5705af2838a36be
qseq_fa3e86f1b25922aa,reference,length_32_gap_8,16,3b5f3d6254c633283e2f0329f93a15ddf2374181302ded1cb0c7b101794b6d63
qseq_619107a9ab1417a4,reference,length_32_gap_8,17,44a2352843b98f7ce7c0bc00792cac0127bb014d8948388e8781a010838a33bd
qseq_6f167887a3f804d2,reference,length_32_gap_8,18,44e68e3eab57f9b91619acd36f9add5bf89c394ddb8275e21a70b1ea62140416
qseq_9eaa49b42493b8c3,reference,length_32_gap_8,19,47e7268b07d8d43adbd107086f8768373ff5f9d5750fb6cac690bf8bf23348ae
qseq_219560b5e9cf6fb0,reference,length_32_gap_8,20,4c6f46216ce86b74f7ec2d50aecbe27189b80141eb9330567c69fe17b69a5ac1
qseq_b37855452327d00f,reference,length_32_gap_8,21,4f0940a60d2914341e62b07964d101f8873d364edf610808d02c177867becd5e
qseq_3be587fdaed7ccf8,reference,length_32_gap_8,22,539d0edda55a797172e974567383fad334067c4240db5a3428724559e3e14a4c
qseq_1d643d500d53dec2,reference,length_32_gap_8,23,5d797405e219799f52e7e4ea57f47c36b036cabd286031334f2b9240bbf02cbb
qseq_e769fa31320e62c3,reference,length_32_gap_8,24,606d89d238084e46471927141cd27ce609f92ece76b1e76589483317d36ee3f5
qseq_069e0532b612e90b,reference,length_32_gap_8,25,63352e12d347214638e545c3c610c21c85613ffc5a2ced73fdcb1b5025620df9
qseq_4c0f8b697e698714,reference,length_32_gap_8,26,695dc9f71c061ceb8e60793fac731639f398c04e50c77a2eb4a079a18e084898
qseq_628fc6a61191e958,reference,length_32_gap_8,27,6bb290b460e055222dd94f36ec2ec3b5d59bd4d3fc92060c6b25cb7e50ef3fa9
qseq_ba81c1ec67926d92,reference,length_32_gap_8,28,6f162dc2f8e8861e1cccce303a05b535bf25090579cf30193518d5cfa8fb4a1b
qseq_dcca1496aa119b56,reference,length_32_gap_8,29,71964db0896389b7e13a9f3a13769bad5d76f8f01ee3ddec4453b0f98060432d
qseq_8f9d4302667d8e91,reference,length_32_gap_8,30,72d231d3585be13f49befe2014bb96782c623567eb32ad16a479351136ad5d6c
qseq_0deb5235fd0cb008,reference,length_32_gap_8,31,7b5f5e6ca5bad56d4987f67cd804a15e1b0874be944dc4352107aedbb9498a38
qseq_7b74722520bdd172,reference,length_32_gap_8,32,7bf04c76667365bd65c9b0afba52ea2cd92dc26fb2fe89f43c686b067cfbd24d
qseq_15af9bf7802b1370,reference,length_32_gap_16,1,0192f73627fd7896763a95ab88fbcd22ce8aab308376914bbfe5f34afdcdd144
qseq_0ff916189ea695bb,reference,length_32_gap_16,2,03a9a7dbb608dedf4b008de14d81d6e36bc1283de39aa6542c4f74c096b1aaac
qseq_17c7b1ad6d44fa8f,reference,length_32_gap_16,3,0423ec18127e9415d937481448c3e358d0a87dc483bdcb12eb3e25d0ee3a6928
qseq_4a29cd58bc929265,reference,length_32_gap_16,4,0b49661475854fa4747aa32717b3f409a0746209b3d94829560867f33a981bbe
qseq_99c5be60dc8bf753,reference,length_32_gap_16,5,23463a7a5b82b983372bb19123a60d832e4f409cdbc0b009c79a73dbc3081fd2
qseq_f0d968f2c2b00713,reference,length_32_gap_16,6,25ac8b9df1898d44edda376ca01bcfa57a70b1aa5f7720218fe1266695281625
qseq_9f0609a3bba40997,reference,length_32_gap_16,7,26acd4903b966035f34304cd52dd8ccd0c9e72140f819a218a4807956e6dc5ac
qseq_915e7d0d012b9046,reference,length_32_gap_16,8,29dba89deafe590cca555c8d5bd0fbe3d286a3e6af7e2e3549b76a625566a71a
qseq_3c72e1925910b934,reference,length_32_gap_16,9,2d7d729a5e9301c5d5ad015b37c559f545a60fc8eef3ff75af5204d6a62a8da2
qseq_3b8562cd3f37ed63,reference,length_32_gap_16,10,2d80e9bca2ea9d2a02babc574caa33b2249a960b114bdaa456e55e1906a2daee
