mask_id,mask_bits,n_heads,n_cells,clean_candidate_accuracy,ablated_candidate_accuracy,clean_top1_accuracy,ablated_top1_accuracy,mean_target_nll_increase
qmask_03e03e6bad3167c1,00110101,4,512,1,0.9921875,0.275390625,0.220703125,0.67086113087134436
qmask_04e99e00df510b89,10100010,3,512,1,0.96875,0.275390625,0.197265625,1.029205676401034
qmask_05031e6a7405856b,00111110,5,512,1,0.970703125,0.275390625,0.203125,0.95890528301242739
qmask_06e53efa12c0c89c,01010011,4,512,1,0.978515625,0.275390625,0.19140625,1.0491525037796237
qmask_07e4d5ad11974b66,01010100,3,512,1,0.986328125,0.275390625,0.189453125,1.0035680136934388
qmask_0cd7ddfc8c2186ca,00110100,3,512,1,0.994140625,0.275390625,0.224609375,0.59998038475168869
qmask_14432725d56e8049,10011100,4,512,1,0.943359375,0.275390625,0.18359375,1.3618643686349969
qmask_168ecc77c6d9bec7,00100011,3,512,1,0.998046875,0.275390625,0.234375,0.4335611843271181
qmask_17b31d3e8666d651,01011101,5,512,1,0.939453125,0.275390625,0.166015625,1.4519929793896154
qmask_1d6d1ddc1980f1fe,10111000,4,512,1,0.927734375,0.275390625,0.173828125,1.4833697241847403
qmask_22c3d94ed895c2d5,10010110,4,512,1,0.966796875,0.275390625,0.197265625,1.1389334248378873
qmask_239a2dd293cc8eaf,11000001,3,512,1,0.92578125,0.275390625,0.12109375,1.8261229720083065
qmask_2678a15f3a1887ca,10110001,4,512,1,0.94921875,0.275390625,0.1796875,1.2835761938767973
qmask_282cb65c9e54d1f9,01101110,5,512,1,0.943359375,0.275390625,0.16796875,1.4022569204098545
qmask_2def687a70c0189d,11100100,4,512,1,0.892578125,0.275390625,0.09765625,2.0927632256643847
qmask_30f1d2fade2e7178,01001010,3,512,1,0.984375,0.275390625,0.19921875,0.95898244547424838
qmask_31a763e8bc0202e0,00101110,4,512,1,0.986328125,0.275390625,0.21875,0.67525085364468396
qmask_323b67f1b27b5893,11111100,6,512,1,0.822265625,0.275390625,0.0703125,2.8173004389391281
qmask_330533bb35dfe50c,10001011,4,512,1,0.970703125,0.275390625,0.197265625,1.0790105220512487
qmask_3745eec79815ddf1,10011011,5,512,1,0.93359375,0.275390625,0.181640625,1.4048444067593664
qmask_39ecce4dbde1e7f4,11001001,4,512,1,0.892578125,0.275390625,0.1015625,2.1346958142821677
qmask_3b86e07f9bac3525,10001010,3,512,1,0.97265625,0.275390625,0.201171875,0.98709008865989745
qmask_424f9867dfadb061,10110000,3,512,1,0.9609375,0.275390625,0.1875,1.1812361066695303
qmask_427363983d4a675f,11011110,6,512,1,0.826171875,0.275390625,0.064453125,2.7324517358210869
qmask_47a8b0e6e63f5071,10111110,6,512,1,0.904296875,0.275390625,0.158203125,1.7339806803502142
