measurement_budget,model,n_heads,n_masks,mae,rmse,bias
16,additive,3,32,0.17196186074953568,0.20700922427894444,-0.16996041741256568
16,additive,4,40,0.25447013607162783,0.29511004832108684,-0.25447013607162783
16,additive,5,32,0.41512736345965923,0.45155080345302423,-0.41512736345965923
16,additive,6,19,0.66334596064487383,0.6964085995444661,-0.66334596064487383
16,additive,7,5,0.7518699731129237,0.78054250428507232,-0.7518699731129237
16,no_effect,3,32,1.1507817820056516,1.2691384269651422,-1.1507817820056516
16,no_effect,4,40,1.4123178872891002,1.5212362523265843,-1.4123178872891002
16,no_effect,5,32,1.964814124537952,2.0523230040856535,-1.964814124537952
16,no_effect,6,19,2.5593597871882499,2.631205921142679,-2.5593597871882499
16,no_effect,7,5,2.7283607887220569,2.771330440750603,-2.7283607887220569
16,quadratic,3,32,0.066598994204795064,0.089181275444512223,-0.043200685135208097
16,quadratic,4,40,0.078275975933785436,0.10270646516707969,-0.053013914106105731
16,quadratic,5,32,0.10697487492670416,0.14475095688808637,-0.085295971307498969
16,quadratic,6,19,0.16832403047804084,0.20694199184165091,-0.16076655265125553
16,quadratic,7,5,0.18703260390733495,0.2349362566829159,-0.18703260390733495
40,additive,3,32,0.14354875269780845,0.15687739797129815,0.070259160046288766
40,additive,4,40,0.21847113253590478,0.22776159343158556,0.15164635189643461
40,additive,5,32,0.23029269710199024,0.25778913968705081,0.14781447724365607
40,additive,6,19,0.21171658332235357,0.24985597127873341,0.049200446064079348
40,additive,7,5,0.23012065773818371,0.27212910232291965,0.12573922414328925
40,no_effect,3,32,1.1507817820056516,1.2691384269651422,-1.1507817820056516
40,no_effect,4,40,1.4123178872891002,1.5212362523265843,-1.4123178872891002
40,no_effect,5,32,1.964814124537952,2.0523230040856535,-1.964814124537952
40,no_effect,6,19,2.5593597871882499,2.631205921142679,-2.5593597871882499
40,no_effect,7,5,2.7283607887220569,2.771330440750603,-2.7283607887220569
40,quadratic,3,32,0.030569281239482146,0.036641433811605645,0.010550346270841853
40,quadratic,4,40,0.03708645712379964,0.043438085458226826,0.016056106304729416
40,quadratic,5,32,0.054251230868859995,0.060549087451247555,0.036449975175120899
40,quadratic,6,19,0.062384226780818924,0.066871495891146646,0.033215634270731431
40,quadratic,7,5,0.071904698570968151,0.073002559978147502,0.048020238657375994
64,additive,3,32,0.10543473864769642,0.12889924029777633,0.04040095363108967
64,additive,4,40,0.16315650997095005,0.18661423008065439,0.10398828483821654
64,additive,5,32,0.18066711387226739,0.21285423853500249,0.091610647605937345
64,additive,6,19,0.18607375169045429,0.22063581465985907,-0.011489917964054396
64,additive,7,5,0.16308091142278283,0.22011012225761781,0.024851014674427317
64,no_effect,3,32,1.1507817820056516,1.2691384269651422,-1.1507817820056516
64,no_effect,4,40,1.4123178872891002,1.5212362523265843,-1.4123178872891002
64,no_effect,5,32,1.964814124537952,2.0523230040856535,-1.964814124537952
64,no_effect,6,19,2.5593597871882499,2.631205921142679,-2.5593597871882499
64,no_effect,7,5,2.7283607887220569,2.771330440750603,-2.7283607887220569
64,quadratic,3,32,0.027507517156260892,0.033945726506482664,0.014258273762582273
64,quadratic,4,40,0.03277769611678847,0.039203844171824785,0.020729088492707451
64,quadratic,5,32,0.046472852587295707,0.052986328945964938,0.038135490147054654
64,quadratic,6,19,0.05244966202692726,0.057910256714846051,0.039411688753151319
64,quadratic,7,5,0.068173026217284424,0.072812050704828157,0.060497089204005851
128,additive,3,32,0.084390553376061189,0.10436183774528511,0.0346945757240259
128,additive,4,40,0.11818109915148318,0.13767592909871623,0.068164270068668542
128,additive,5,32,0.13231812114420605,0.15662238732597983,0.047100271391863929
128,additive,6,19,0.1605677190102146,0.18514786227929167,-0.057580069991946703
128,additive,7,5,0.15490584120323819,0.18749242103913816,-0.039153616374726675
128,no_effect,3,32,1.1507817820056516,1.2691384269651422,-1.1507817820056516
128,no_effect,4,40,1.4123178872891002,1.5212362523265843,-1.4123178872891002
128,no_effect,5,32,1.964814124537952,2.0523230040856535,-1.964814124537952
128,no_effect,6,19,2.5593597871882499,2.631205921142679,-2.5593597871882499
128,no_effect,7,5,2.7283607887220569,2.771330440750603,-2.7283607887220569
128,quadratic,3,32,0.026585610674612906,0.035096178039679425,0.020784685754908175
128,quadratic,4,40,0.033499622828555904,0.041964445799762704,0.029040901692789067
128,quadratic,5,32,0.049028718326220994,0.057141855014942927,0.047210956191038683
128,quadratic,6,19,0.056038012247192182,0.064717528063324717,0.054138753437788976
128,quadratic,7,5,0.068392959491930402,0.074814188359252687,0.068392959491930402
