prompt_id,family_id,candidate_margin,candidate_correct,top1_correct,target_nll,target_token_id,candidate_predicted_token_id,predicted_token_id,candidate_logits_finite
qseq_c767dcde7de96c2f,length_32_gap_8,2.9462099075317383,True,False,7.4854855537414551,106189,106189,220,True
qseq_897390a0d0f857dd,length_32_gap_8,10.119000434875488,True,True,3.0899577140808105,113738,113738,113738,True
qseq_284b47a1871f558d,length_32_gap_8,8.0842056274414062,True,False,3.2517573833465576,112170,112170,41789,True
qseq_9564c335f860807a,length_32_gap_8,9.2612857818603516,True,True,2.291015625,5673,5673,5673,True
qseq_b055e28768e5f9db,length_32_gap_8,4.9616751670837402,True,False,6.5294814109802246,3042,3042,220,True
qseq_0ba4f1526c5f729b,length_32_gap_8,6.1143627166748047,True,False,7.3273100852966309,114385,114385,31382,True
qseq_bbd13a17725542ab,length_32_gap_8,4.2902603149414062,True,False,6.2452278137207031,49568,49568,198,True
qseq_7a4e221d29fc3a2e,length_32_gap_8,8.6505069732666016,True,False,3.6452600955963135,8326,8326,13,True
qseq_913078c95f609050,length_32_gap_8,6.9412646293640137,True,False,3.5339906215667725,16708,16708,13,True
qseq_21ba8cdac201cc30,length_32_gap_8,3.787869930267334,True,False,7.613731861114502,62557,62557,198,True
qseq_2d9b105d7e3736b7,length_32_gap_8,5.6262378692626953,True,False,4.8362054824829102,87987,87987,220,True
qseq_d61f332679c6ec3e,length_32_gap_8,9.9936256408691406,True,True,2.6045970916748047,9794,9794,9794,True
qseq_72e2cd870c8a81c9,length_32_gap_8,8.16876220703125,True,True,3.525468111038208,17294,17294,17294,True
qseq_89e8b285b5f965c2,length_32_gap_8,4.9458680152893066,True,False,8.5723552703857422,43999,43999,198,True
qseq_5184f25c7b85c53c,length_32_gap_8,9.9009943008422852,True,True,3.0564634799957275,55305,55305,55305,True
qseq_8a3b5e846ec7b1de,length_32_gap_8,6.3770685195922852,True,True,3.4400472640991211,43959,43959,43959,True
qseq_ac1a3e1869dc090c,length_32_gap_8,7.3019909858703613,True,True,3.4240412712097168,47439,47439,47439,True
qseq_dc1d9c14a80d171c,length_32_gap_8,8.6210861206054688,True,False,4.9573874473571777,18678,18678,220,True
qseq_99d34e9175e66222,length_32_gap_8,7.4291472434997559,True,False,5.5702128410339355,81386,81386,8,True
qseq_d6492c6ac00d3b0f,length_32_gap_8,10.321548461914062,True,True,3.0202357769012451,102741,102741,102741,True
qseq_690d86412dda754a,length_32_gap_8,6.5624961853027344,True,False,5.3217949867248535,94311,94311,198,True
qseq_b13027e33741a1ba,length_32_gap_8,3.8572282791137695,True,False,7.5479822158813477,144442,144442,48521,True
qseq_ef057144bcaa8c78,length_32_gap_8,9.6949291229248047,True,True,3.6895580291748047,85992,85992,85992,True
qseq_01f76172c615c93c,length_32_gap_8,1.6465693712234497,True,False,8.7947292327880859,104563,104563,220,True
qseq_6913410b187e9bcd,length_32_gap_8,4.9003410339355469,True,False,8.5771045684814453,123653,123653,5011,True
qseq_6f2468350cf2a4c7,length_32_gap_8,6.1921143531799316,True,False,3.342045783996582,90317,90317,748,True
qseq_48fa6ccbcf85740a,length_32_gap_8,5.4933662414550781,True,True,4.3495516777038574,45629,45629,45629,True
qseq_0a3d2a206ed1ac2f,length_32_gap_8,10.2420654296875,True,True,2.1275115013122559,34551,34551,34551,True
qseq_4e6f3e53c5cffa8c,length_32_gap_8,6.0872611999511719,True,False,8.5176458358764648,124638,124638,70393,True
qseq_addd85868ee4c978,length_32_gap_8,3.0789308547973633,True,False,6.4572043418884277,103105,103105,279,True
qseq_d488f6be0be8d667,length_32_gap_8,9.55535888671875,True,True,1.4513717889785767,35485,35485,35485,True
qseq_29bcc3b5e07adaa6,length_32_gap_8,7.5494265556335449,True,False,3.9754664897918701,30679,30679,1706,True
qseq_f92f57b1f8bac576,length_32_gap_8,3.842681884765625,True,False,6.3925557136535645,58165,58165,220,True
qseq_caa06bf2219d5d30,length_32_gap_8,9.6303396224975586,True,True,2.9562137126922607,73086,73086,73086,True
qseq_14140e7a95fa2fb9,length_32_gap_8,3.9574613571166992,True,False,7.5561428070068359,114634,114634,7,True
qseq_83326ff9f67b103f,length_32_gap_8,8.6613779067993164,True,True,2.3675370216369629,73999,73999,73999,True
qseq_9cae4833ac91d598,length_32_gap_8,7.7165179252624512,True,False,4.7106227874755859,73619,73619,12,True
qseq_cfb9d767fb841745,length_32_gap_8,5.7846426963806152,True,False,4.2976059913635254,9738,9738,4552,True
qseq_9a641dc8e553cdc9,length_32_gap_8,7.6731810569763184,True,False,3.8886995315551758,115845,115845,99541,True
qseq_618c0004fec7a467,length_32_gap_8,4.5934381484985352,True,False,7.3684349060058594,67694,67694,13,True
qseq_02dd020751347c55,length_32_gap_8,7.5618820190429688,True,False,5.5441646575927734,87839,87839,220,True
qseq_c8384ab754451eef,length_32_gap_8,2.8867654800415039,True,False,6.4263396263122559,110144,110144,100331,True
qseq_ba05bbb94039b0ae,length_32_gap_8,6.9410629272460938,True,False,6.4121508598327637,148698,148698,76,True
qseq_4e8da5b186698007,length_32_gap_8,3.9103949069976807,True,False,5.7231903076171875,131997,131997,220,True
qseq_e0e24ca7df1361da,length_32_gap_8,7.8520965576171875,True,True,3.5322964191436768,67352,67352,67352,True
qseq_78b8701a8c418992,length_32_gap_8,12.092935562133789,True,True,1.8507922887802124,11641,11641,11641,True
qseq_9a84a9d452ad6692,length_32_gap_8,12.39979076385498,True,True,1.4711474180221558,4186,4186,4186,True
qseq_37ed28aef12e4075,length_32_gap_8,7.7470502853393555,True,False,5.7399635314941406,110252,110252,198,True
qseq_4811292cd5272ac8,length_32_gap_8,12.631054878234863,True,True,0.72314256429672241,106988,106988,106988,True
qseq_98e081c19e55b9c2,length_32_gap_8,12.682595252990723,True,True,0.98284471035003662,36470,36470,36470,True
qseq_77a729a7d6333b5f,length_32_gap_8,9.8840513229370117,True,True,2.4649307727813721,105434,105434,105434,True
qseq_f1ed764d9e898c1c,length_32_gap_8,7.9027271270751953,True,False,3.6086373329162598,150324,150324,220,True
qseq_496b941feed234e5,length_32_gap_8,10.570975303649902,True,True,1.9457254409790039,9325,9325,9325,True
qseq_226ec06b22020410,length_32_gap_8,4.0046439170837402,True,False,5.9298787117004395,31165,31165,82,True
qseq_433ffda24ef20d0d,length_32_gap_8,11.523992538452148,True,True,1.9860935211181641,18712,18712,18712,True
qseq_523dae664b4c02de,length_32_gap_8,7.298861026763916,True,False,5.2400894165039062,17889,17889,220,True
qseq_5729a944eb6aec71,length_32_gap_8,5.9918761253356934,True,False,6.1922821998596191,61990,61990,220,True
qseq_769e2a1fc1ef4d7b,length_32_gap_8,5.8826560974121094,True,False,4.2826414108276367,110114,110114,13,True
qseq_8e34020e948679cd,length_32_gap_8,12.325122833251953,True,True,0.57106560468673706,42366,42366,42366,True
qseq_4dd4a4938a07566b,length_32_gap_8,8.2067251205444336,True,False,5.3227534294128418,121352,121352,9370,True
qseq_e3083089db559adf,length_32_gap_8,4.1828722953796387,True,False,8.0441598892211914,24322,24322,13,True
qseq_848e9ef4c7e3ec69,length_32_gap_8,3.010735034942627,True,False,8.75469970703125,133066,133066,198,True
qseq_c6a305d74eb4ea8c,length_32_gap_8,12.760897636413574,True,True,2.5183990001678467,30275,30275,30275,True
qseq_047ab7fab5d21e65,length_32_gap_8,9.3766708374023438,True,True,1.6373200416564941,23209,23209,23209,True
qseq_d5d3c27cb4f6aa62,length_32_gap_16,10.261236190795898,True,True,1.8210828304290771,97560,97560,97560,True
qseq_510f6ba562b151ba,length_32_gap_16,6.1617345809936523,True,False,4.4547247886657715,37174,37174,220,True
qseq_d31cbd228c6caa2a,length_32_gap_16,6.5365819931030273,True,True,3.9104421138763428,115087,115087,115087,True
qseq_de0d7f232024ba9f,length_32_gap_16,7.5591278076171875,True,True,3.391716480255127,49575,49575,49575,True
qseq_ecff6144c5b1ec9e,length_32_gap_16,4.2342753410339355,True,False,5.1763725280761719,92789,92789,13,True
qseq_85822104052b367f,length_32_gap_16,10.054932594299316,True,True,1.7099177837371826,12457,12457,12457,True
qseq_979f53b108929796,length_32_gap_16,4.9758586883544922,True,False,4.4220132827758789,20475,20475,220,True
qseq_cc41c56efbdb7f10,length_32_gap_16,11.400108337402344,True,True,1.4519690275192261,44660,44660,44660,True
qseq_9c8754dbb395b4fd,length_32_gap_16,4.6715936660766602,True,False,5.6427974700927734,111956,111956,9370,True
qseq_70673c2f156f8d39,length_32_gap_16,7.3203573226928711,True,True,3.0732791423797607,50140,50140,50140,True
qseq_3e433293e9fdca16,length_32_gap_16,5.2215371131896973,True,False,6.6713433265686035,61922,61922,13146,True
qseq_3c64b7648c1670e8,length_32_gap_16,6.8781862258911133,True,False,4.7494268417358398,107582,107582,8,True
qseq_bcc0c7a5e745d863,length_32_gap_16,3.4048056602478027,True,False,7.4922547340393066,18020,18020,220,True
qseq_8eca98e42721d109,length_32_gap_16,5.4558749198913574,True,False,4.7759971618652344,23535,23535,263,True
qseq_cdb94007d2a1cb63,length_32_gap_16,11.409968376159668,True,True,2.7595713138580322,43275,43275,43275,True
qseq_e7b200fe71b370c4,length_32_gap_16,15.145834922790527,True,True,0.35196065902709961,11337,11337,11337,True
qseq_332f523f946f0c60,length_32_gap_16,10.812849998474121,True,True,2.1139137744903564,51934,51934,51934,True
qseq_340bacf5e4f965de,length_32_gap_16,3.433889627456665,True,False,9.1370582580566406,34172,34172,198,True
qseq_b0922f654a906bca,length_32_gap_16,6.7177495956420898,True,False,5.6353631019592285,81396,81396,3770,True
qseq_0ca957c5353b3863,length_32_gap_16,5.6527462005615234,True,False,7.1668033599853516,34720,34720,522,True
qseq_7560b74209314c00,length_32_gap_16,9.7488555908203125,True,False,4.2838921546936035,96854,96854,23364,True
qseq_4a4548f6f519d388,length_32_gap_16,5.3002758026123047,True,False,5.1815810203552246,72734,72734,8,True
qseq_1f9d2735ad5e2ca6,length_32_gap_16,13.025143623352051,True,True,0.92815637588500977,112685,112685,112685,True
qseq_84613d14663bbbe9,length_32_gap_16,9.5286502838134766,True,True,2.3909730911254883,9264,9264,9264,True
qseq_bf652fa330b1d710,length_32_gap_16,4.7811131477355957,True,False,5.0798964500427246,56447,56447,198,True
qseq_83ec4e68586daf2c,length_32_gap_16,8.6142606735229492,True,True,3.5049374103546143,74494,74494,74494,True
qseq_2c2f5d4274d720a3,length_32_gap_16,8.2316761016845703,True,False,5.5824575424194336,34567,34567,102852,True
qseq_92f2482ef549129f,length_32_gap_16,11.90023136138916,True,True,1.1894528865814209,37097,37097,37097,True
qseq_2ad43597a3368b5c,length_32_gap_16,5.2258749008178711,True,False,6.2092471122741699,144876,144876,198,True
qseq_e295464fdbf58971,length_32_gap_16,4.1902079582214355,True,False,5.82684326171875,53191,53191,220,True
qseq_eaa4811a3fbab31e,length_32_gap_16,7.2828617095947266,True,False,5.0755739212036133,12406,12406,220,True
qseq_a1e91c13b566fb63,length_32_gap_16,10.659023284912109,True,True,2.1578960418701172,103741,103741,103741,True
qseq_c1561adf99d60e0a,length_32_gap_16,6.0060982704162598,True,True,1.7799303531646729,32887,32887,32887,True
qseq_082b39cdfb277758,length_32_gap_16,16.347190856933594,True,True,1.2251285314559937,19532,19532,19532,True
qseq_95f204bfe800c344,length_32_gap_16,7.667149543762207,True,True,3.7943069934844971,123278,123278,123278,True
qseq_f7a167414c890483,length_32_gap_16,3.9669158458709717,True,False,7.864567756652832,148821,148821,4891,True
qseq_a606d9daf4b19855,length_32_gap_16,9.4309787750244141,True,True,2.8160274028778076,27066,27066,27066,True
