measurement_budget,model,ridge,term,coefficient
16,no_effect,0,intercept,0
16,additive,0.10000000000000001,intercept,0.052078539934350132
16,additive,0.10000000000000001,head_0,0.85091031792505489
16,additive,0.10000000000000001,head_1,0.82235617984441045
16,additive,0.10000000000000001,head_2,0.25824872920999198
16,additive,0.10000000000000001,head_3,0.18601952841327996
16,additive,0.10000000000000001,head_4,0.16888839281385842
16,additive,0.10000000000000001,head_5,0.072557159499930357
16,additive,0.10000000000000001,head_6,0.011581774202308354
16,additive,0.10000000000000001,head_7,0.011134823407268108
16,quadratic,9.9999999999999995e-07,intercept,2.102722415298075e-06
16,quadratic,9.9999999999999995e-07,head_0,0.80198639591767507
16,quadratic,9.9999999999999995e-07,head_1,0.72622677221826415
16,quadratic,9.9999999999999995e-07,head_2,0.35385089513308338
16,quadratic,9.9999999999999995e-07,head_3,0.25462054772403075
16,quadratic,9.9999999999999995e-07,head_4,0.23304255420380285
16,quadratic,9.9999999999999995e-07,head_5,0.14117335336160192
16,quadratic,9.9999999999999995e-07,head_6,0.082749787385947599
16,quadratic,9.9999999999999995e-07,head_7,0.070643945253686141
16,quadratic,9.9999999999999995e-07,head_0:head_1,0.42757050344121111
16,quadratic,9.9999999999999995e-07,head_0:head_2,-0.012303016344829106
16,quadratic,9.9999999999999995e-07,head_0:head_3,0.034476456030528221
16,quadratic,9.9999999999999995e-07,head_0:head_4,0.041657079890192288
16,quadratic,9.9999999999999995e-07,head_0:head_5,0.023099983484546133
16,quadratic,9.9999999999999995e-07,head_0:head_6,0.011898864734414521
16,quadratic,9.9999999999999995e-07,head_0:head_7,0.035171964435195054
16,quadratic,9.9999999999999995e-07,head_1:head_2,0
16,quadratic,9.9999999999999995e-07,head_1:head_3,0
16,quadratic,9.9999999999999995e-07,head_1:head_4,0
16,quadratic,9.9999999999999995e-07,head_1:head_5,0
16,quadratic,9.9999999999999995e-07,head_1:head_6,0
16,quadratic,9.9999999999999995e-07,head_1:head_7,0
16,quadratic,9.9999999999999995e-07,head_2:head_3,0
16,quadratic,9.9999999999999995e-07,head_2:head_4,0
16,quadratic,9.9999999999999995e-07,head_2:head_5,0
16,quadratic,9.9999999999999995e-07,head_2:head_6,0
16,quadratic,9.9999999999999995e-07,head_2:head_7,0
16,quadratic,9.9999999999999995e-07,head_3:head_4,0
16,quadratic,9.9999999999999995e-07,head_3:head_5,0
16,quadratic,9.9999999999999995e-07,head_3:head_6,0
16,quadratic,9.9999999999999995e-07,head_3:head_7,0
16,quadratic,9.9999999999999995e-07,head_4:head_5,0
16,quadratic,9.9999999999999995e-07,head_4:head_6,0
16,quadratic,9.9999999999999995e-07,head_4:head_7,0
16,quadratic,9.9999999999999995e-07,head_5:head_6,0
16,quadratic,9.9999999999999995e-07,head_5:head_7,0
16,quadratic,9.9999999999999995e-07,head_6:head_7,0
40,no_effect,0,intercept,0
40,additive,0.10000000000000001,intercept,-0.18270133645944214
40,additive,0.10000000000000001,head_0,0.97098522619676642
40,additive,0.10000000000000001,head_1,0.91134493698462249
40,additive,0.10000000000000001,head_2,0.43584626894978662
40,additive,0.10000000000000001,head_3,0.37049659421860837
40,additive,0.10000000000000001,head_4,0.36721125494457069
40,additive,0.10000000000000001,head_5,0.25105553446473183
40,additive,0.10000000000000001,head_6,0.17563702404990963
40,additive,0.10000000000000001,head_7,0.16540136577466308
40,quadratic,9.9999999999999995e-07,intercept,-0.0019059114762270679
40,quadratic,9.9999999999999995e-07,head_0,0.8053190234135984
40,quadratic,9.9999999999999995e-07,head_1,0.72955964058498157
40,quadratic,9.9999999999999995e-07,head_2,0.35564679989758713
40,quadratic,9.9999999999999995e-07,head_3,0.25641663633743289
40,quadratic,9.9999999999999995e-07,head_4,0.23637539742502187
40,quadratic,9.9999999999999995e-07,head_5,0.1445060335201043
40,quadratic,9.9999999999999995e-07,head_6,0.082998906355946256
40,quadratic,9.9999999999999995e-07,head_7,0.07243986483321091
40,quadratic,9.9999999999999995e-07,head_0:head_1,0.42247279952184996
40,quadratic,9.9999999999999995e-07,head_0:head_2,-0.0158637581989386
40,quadratic,9.9999999999999995e-07,head_0:head_3,0.030915530327703944
40,quadratic,9.9999999999999995e-07,head_0:head_4,0.036559401116304034
40,quadratic,9.9999999999999995e-07,head_0:head_5,0.018002467773211368
40,quadratic,9.9999999999999995e-07,head_0:head_6,0.010501626627241446
40,quadratic,9.9999999999999995e-07,head_0:head_7,0.031611207766079043
40,quadratic,9.9999999999999995e-07,head_1:head_2,0.00072378006647876361
40,quadratic,9.9999999999999995e-07,head_1:head_3,0.061080738844222243
40,quadratic,9.9999999999999995e-07,head_1:head_4,0.083544329034908035
40,quadratic,9.9999999999999995e-07,head_1:head_5,0.022650312628817171
40,quadratic,9.9999999999999995e-07,head_1:head_6,0.013907128457523947
40,quadratic,9.9999999999999995e-07,head_1:head_7,0.036689888533124104
40,quadratic,9.9999999999999995e-07,head_2:head_3,-0.0009487597898692532
40,quadratic,9.9999999999999995e-07,head_2:head_4,-0.0009122888985036618
40,quadratic,9.9999999999999995e-07,head_2:head_5,-0.0040289240707147332
40,quadratic,9.9999999999999995e-07,head_2:head_6,0.0023874290496778356
40,quadratic,9.9999999999999995e-07,head_2:head_7,0.0084859547305994217
40,quadratic,9.9999999999999995e-07,head_3:head_4,0.10917206562015046
40,quadratic,9.9999999999999995e-07,head_3:head_5,0.0050212073316299073
40,quadratic,9.9999999999999995e-07,head_3:head_6,0.023747636288424665
40,quadratic,9.9999999999999995e-07,head_3:head_7,-0.0085164321736553774
40,quadratic,9.9999999999999995e-07,head_4:head_5,0.0021784140694929145
40,quadratic,9.9999999999999995e-07,head_4:head_6,0.0091267194861021656
40,quadratic,9.9999999999999995e-07,head_4:head_7,-0.009658610521936728
40,quadratic,9.9999999999999995e-07,head_5:head_6,0.012435571983713698
40,quadratic,9.9999999999999995e-07,head_5:head_7,-0.0078689960127028245
40,quadratic,9.9999999999999995e-07,head_6:head_7,0.0013904366814128813
64,no_effect,0,intercept,0
64,additive,9.9999999999999995e-07,intercept,-0.1722756512625338
64,additive,9.9999999999999995e-07,head_0,1.0561959678118005
