method,target_pairs,prevalence,mean_auroc,mean_violations,refit_min,refit_max,refits
refit-p128,128,0.01,0.9377811018614869,5.1664,5.044,5.521,10
refit-p128,128,0.05,0.9377811018614869,46.0811,45.214,47.106,10
refit-p32,32,0.01,0.9320105648051797,6.0432500000000005,5.11,8.7245,10
refit-p32,32,0.05,0.9320105648051797,48.63505,45.5945,55.9185,10
refit-p512,512,0.01,0.9401374075037576,5.1204,4.9925,5.2545,10
refit-p512,512,0.05,0.9401374075037576,45.2822,45.1995,45.537,10
refit-p700,700,0.01,0.9402882558677303,5.1212,5.088,5.177,10
refit-p700,700,0.05,0.9402882558677303,45.24465,45.2255,45.2755,10
refit-p8,8,0.01,0.9203927115851543,7.6549000000000005,5.207,10.7735,10
refit-p8,8,0.05,0.9203927115851543,52.31904999999999,46.42,60.495,10
source-frozen,0,0.01,0.29280299745635335,15.0,15.0,15.0,1
source-frozen,0,0.05,0.29280299745635335,73.994,73.994,73.994,1
target-native,700,0.01,0.9404103798126952,5.088,5.088,5.088,1
target-native,700,0.05,0.9404103798126952,45.2255,45.2255,45.2255,1
target-raw-prompt,0,0.01,0.8755166782286969,12.1535,12.1535,12.1535,1
target-raw-prompt,0,0.05,0.8755166782286969,62.831,62.831,62.831,1
