observer,family_id,n,risk_auroc
activation-transformed-label-component,heldout_operation__heldout_template,192,1.0
activation-transformed-label-component,heldout_operation__seen_template,192,1.0
activation-transformed-label-component,seen_operation__heldout_template,192,1.0
activation-transformed-label-component,seen_operation__seen_template,192,1.0
activation-transformed-risk,heldout_operation__heldout_template,192,1.0
activation-transformed-risk,heldout_operation__seen_template,192,1.0
activation-transformed-risk,seen_operation__heldout_template,192,1.0
activation-transformed-risk,seen_operation__seen_template,192,0.9512803819444444
full-context-text-direct-risk,heldout_operation__heldout_template,192,0.9649522569444444
full-context-text-direct-risk,heldout_operation__seen_template,192,0.9525824652777778
full-context-text-direct-risk,seen_operation__heldout_template,192,0.9315321180555556
full-context-text-direct-risk,seen_operation__seen_template,192,0.89453125
full-context-text-label-times-severity,heldout_operation__heldout_template,192,0.9889322916666666
full-context-text-label-times-severity,heldout_operation__seen_template,192,0.9830729166666666
full-context-text-label-times-severity,seen_operation__heldout_template,192,0.9903428819444444
full-context-text-label-times-severity,seen_operation__seen_template,192,0.919921875
model-block-minus-allow-margin,heldout_operation__heldout_template,192,1.0
model-block-minus-allow-margin,heldout_operation__seen_template,192,1.0
model-block-minus-allow-margin,seen_operation__heldout_template,192,1.0
model-block-minus-allow-margin,seen_operation__seen_template,192,1.0
